date,bid,bvh,ctd,ctg,eib,fpt,gas,hdb,hpg,msn,mwg,vnl,plx,pnj,pow,ree,ros,sab,stb,tcb,vcb,vhm,vic,vjc,vnm,vpb,vre
2010-01-01,55,0,29,28,18,44,19,66,50,100,0,0,0,51,42,41,0,20,61,36,47,40,60,32,59,17,24
2010-02-01,25,94,0,49,74,41,15,0,0,61,0,100,0,86,41,64,5,28,77,100,55,0,83,0,56,0,34
2010-03-01,54,100,56,55,35,60,19,64,33,65,0,0,0,62,62,100,4,29,68,24,47,0,74,0,63,34,48
2010-04-01,31,70,59,44,37,48,15,34,43,66,21,0,0,46,30,63,0,21,82,25,54,0,52,0,48,18,0
2010-05-01,46,73,0,15,48,56,15,0,18,56,0,0,16,42,72,60,2,32,100,39,62,0,51,0,50,18,0
2010-06-01,41,38,32,16,100,61,16,73,19,73,0,81,0,45,19,57,0,0,63,27,53,0,53,0,39,38,0
2010-07-01,27,0,0,25,48,57,18,0,15,60,0,0,0,40,48,68,0,18,75,21,51,0,65,0,21,30,22
2010-08-01,48,59,0,43,16,67,13,29,22,49,0,0,13,47,40,62,3,0,61,21,67,0,74,28,35,15,43
2010-09-01,61,62,78,39,41,56,22,30,23,51,0,0,13,43,35,51,2,55,38,22,54,0,98,0,32,23,45
2010-10-01,31,43,24,12,52,49,16,0,28,53,17,61,0,50,39,26,0,25,39,20,59,0,72,0,24,14,41
2010-11-01,35,0,36,18,22,48,16,27,21,40,17,0,0,37,39,77,8,25,27,41,63,0,61,0,58,43,20
2010-12-01,29,67,23,22,50,57,21,26,13,54,0,57,0,53,53,61,0,32,48,38,60,32,75,0,37,41,0
2011-01-01,53,53,10,30,53,58,17,29,14,54,7,51,0,50,63,36,1,17,24,29,67,14,61,0,26,27,9
2011-02-01,42,71,33,33,10,59,17,44,0,48,0,27,6,100,58,63,3,15,36,9,54,0,64,0,49,30,9
2011-03-01,48,84,25,43,37,65,18,29,10,52,6,21,0,60,63,48,4,29,30,21,70,12,72,0,44,30,7
2011-04-01,100,71,21,42,13,52,18,44,10,49,0,43,0,41,69,40,0,21,32,25,68,0,62,0,35,38,7
2011-05-01,74,66,12,29,22,50,17,27,9,45,17,80,0,43,76,37,3,22,34,17,68,0,99,0,44,31,7
2011-06-01,47,42,12,20,27,47,16,18,5,44,6,20,4,42,58,28,4,25,29,27,68,11,89,0,41,24,0
2011-07-01,28,9,11,15,12,46,15,31,9,46,5,29,4,38,100,25,1,21,49,19,66,0,72,9,42,36,0
2011-08-01,61,42,18,21,18,49,18,16,15,40,0,36,5,45,74,54,1,25,82,21,76,10,63,8,44,23,15
2011-09-01,33,17,14,21,15,47,15,32,12,37,0,35,0,43,70,33,3,17,27,21,69,0,79,8,30,19,6
2011-10-01,34,22,6,28,20,42,16,33,7,37,0,24,0,54,86,28,1,27,29,29,65,0,60,14,39,28,11
2011-11-01,53,30,19,29,28,40,31,26,22,34,0,24,3,43,98,55,3,27,33,11,72,9,73,7,46,42,0
2011-12-01,48,18,9,44,15,38,19,27,3,29,0,30,6,44,68,28,2,23,25,15,72,8,65,13,48,23,10
2012-01-01,46,28,13,17,17,36,15,15,0,32,0,34,0,44,68,31,1,19,34,20,71,0,57,8,42,26,6
2012-02-01,37,18,12,19,28,41,22,21,9,28,0,0,3,79,56,46,2,15,71,13,65,0,72,7,40,48,8
2012-03-01,39,41,13,31,37,45,23,25,11,28,4,20,0,52,59,57,1,26,49,25,72,0,57,6,37,32,5
2012-04-01,44,20,17,37,26,43,21,29,11,26,0,28,3,42,60,54,1,37,41,19,72,0,66,6,36,31,0
2012-05-01,37,33,18,29,18,40,21,15,12,25,0,26,0,35,53,37,3,27,33,28,77,0,50,9,55,31,9
2012-06-01,35,34,5,18,18,38,19,15,5,25,0,13,3,31,55,38,3,31,31,22,78,0,65,9,48,26,9
2012-07-01,45,30,18,14,20,38,19,6,9,19,0,13,3,39,58,54,1,28,20,17,70,7,50,14,36,24,0
2012-08-01,46,50,22,23,26,43,20,23,7,25,0,0,2,40,52,33,2,21,28,15,73,0,52,17,57,28,4
2012-09-01,38,36,10,12,30,40,20,12,6,19,0,26,3,37,45,29,2,23,32,25,68,14,62,6,46,25,11
2012-10-01,34,32,13,23,14,36,18,23,12,21,3,22,0,42,45,26,2,25,8,19,78,0,59,20,53,37,6
2012-11-01,26,16,27,21,17,32,15,16,4,21,0,12,0,34,49,23,3,32,13,17,73,6,45,18,41,31,4
2012-12-01,22,23,20,31,10,36,18,28,5,19,0,11,0,32,33,24,2,23,17,13,75,0,50,27,46,33,0
2013-01-01,31,44,20,24,28,42,16,18,4,21,3,11,2,35,30,42,2,17,14,11,78,0,48,32,47,28,0
2013-02-01,19,13,13,20,25,39,13,0,9,22,0,27,0,46,44,36,1,28,20,18,67,7,49,21,46,25,5
2013-03-01,39,29,16,19,24,44,16,9,6,21,0,15,4,43,42,50,1,26,17,16,70,6,57,28,51,28,3
2013-04-01,28,18,21,36,16,45,17,17,7,21,0,49,0,29,53,46,2,18,20,18,75,0,51,63,61,33,4
2013-05-01,31,21,10,32,16,43,16,34,15,17,0,10,0,30,41,51,3,27,16,24,76,6,57,45,49,36,7
2013-06-01,33,17,19,29,16,47,16,10,5,16,3,11,2,29,35,35,2,25,12,28,70,6,54,26,51,31,7
2013-07-01,38,23,8,18,6,45,16,29,3,16,3,25,2,29,30,33,2,23,11,20,74,0,48,24,54,26,3
2013-08-01,29,14,31,13,10,48,16,22,7,17,5,10,0,25,43,37,1,26,8,15,75,0,56,26,44,34,0
2013-09-01,31,21,22,31,14,48,17,11,6,13,3,20,4,32,32,33,2,32,10,22,74,11,49,20,43,35,3
2013-10-01,32,15,26,23,15,48,18,11,3,15,8,14,0,32,29,29,2,22,5,19,75,5,51,25,39,36,3
2013-11-01,24,14,19,17,17,51,18,13,11,14,4,19,0,30,33,42,4,25,9,20,77,0,52,35,32,45,3
2013-12-01,20,15,13,25,13,56,20,13,5,14,3,28,4,26,28,44,2,25,10,14,77,0,56,29,47,36,3
2014-01-01,45,20,13,21,12,46,17,11,9,14,0,24,0,26,27,37,2,33,7,11,84,0,54,40,35,37,3
2014-02-01,40,9,13,19,17,50,17,9,11,14,3,15,2,59,40,30,3,34,13,21,57,0,50,37,44,27,0
2014-03-01,44,17,8,24,18,53,17,13,10,13,0,20,2,34,31,33,4,45,15,13,65,4,47,19,54,36,11
2014-04-01,32,21,8,25,14,55,16,7,14,12,2,21,0,26,39,27,3,50,12,26,66,9,40,24,37,41,6
2014-05-01,27,13,11,23,18,51,16,14,7,13,2,24,2,24,40,27,3,26,13,9,61,0,39,27,45,22,3
2014-06-01,34,6,12,17,16,58,15,27,12,11,5,8,3,22,41,25,3,38,14,16,64,9,41,30,43,38,3
2014-07-01,35,18,12,8,11,59,14,8,8,12,16,39,0,23,36,33,1,35,15,20,70,14,50,27,49,42,3
2014-08-01,31,24,20,14,11,63,16,14,7,12,10,26,3,27,48,24,2,35,17,19,65,5,50,14,39,44,3
