,date,ticker,open,high,low,close,volume
0,2010-01-01,BID,,,,,
1,2010-01-04,BID,,,,,
2,2010-01-05,BID,,,,,
3,2010-01-06,BID,,,,,
4,2010-01-07,BID,,,,,
5,2010-01-08,BID,,,,,
6,2010-01-11,BID,,,,,
7,2010-01-12,BID,,,,,
8,2010-01-13,BID,,,,,
9,2010-01-14,BID,,,,,
10,2010-01-15,BID,,,,,
11,2010-01-18,BID,,,,,
12,2010-01-19,BID,,,,,
13,2010-01-20,BID,,,,,
14,2010-01-21,BID,,,,,
15,2010-01-22,BID,,,,,
16,2010-01-25,BID,,,,,
17,2010-01-26,BID,,,,,
18,2010-01-27,BID,,,,,
19,2010-01-28,BID,,,,,
20,2010-01-29,BID,,,,,
21,2010-02-01,BID,,,,,
22,2010-02-02,BID,,,,,
23,2010-02-03,BID,,,,,
24,2010-02-04,BID,,,,,
25,2010-02-05,BID,,,,,
26,2010-02-08,BID,,,,,
27,2010-02-09,BID,,,,,
28,2010-02-10,BID,,,,,
29,2010-02-11,BID,,,,,
30,2010-02-12,BID,,,,,
31,2010-02-15,BID,,,,,
32,2010-02-16,BID,,,,,
33,2010-02-17,BID,,,,,
34,2010-02-18,BID,,,,,
35,2010-02-19,BID,,,,,
36,2010-02-22,BID,,,,,
37,2010-02-23,BID,,,,,
38,2010-02-24,BID,,,,,
39,2010-02-25,BID,,,,,
40,2010-02-26,BID,,,,,
41,2010-03-01,BID,,,,,
42,2010-03-02,BID,,,,,
43,2010-03-03,BID,,,,,
44,2010-03-04,BID,,,,,
45,2010-03-05,BID,,,,,
46,2010-03-08,BID,,,,,
47,2010-03-09,BID,,,,,
48,2010-03-10,BID,,,,,
49,2010-03-11,BID,,,,,
50,2010-03-12,BID,,,,,
51,2010-03-15,BID,,,,,
52,2010-03-16,BID,,,,,
53,2010-03-17,BID,,,,,
54,2010-03-18,BID,,,,,
55,2010-03-19,BID,,,,,
56,2010-03-22,BID,,,,,
57,2010-03-23,BID,,,,,
58,2010-03-24,BID,,,,,
59,2010-03-25,BID,,,,,
60,2010-03-26,BID,,,,,
61,2010-03-29,BID,,,,,
62,2010-03-30,BID,,,,,
63,2010-03-31,BID,,,,,
64,2010-04-01,BID,,,,,
65,2010-04-02,BID,,,,,
66,2010-04-05,BID,,,,,
67,2010-04-06,BID,,,,,
68,2010-04-07,BID,,,,,
69,2010-04-08,BID,,,,,
70,2010-04-09,BID,,,,,
71,2010-04-12,BID,,,,,
72,2010-04-13,BID,,,,,
73,2010-04-14,BID,,,,,
74,2010-04-15,BID,,,,,
75,2010-04-16,BID,,,,,
76,2010-04-19,BID,,,,,
77,2010-04-20,BID,,,,,
78,2010-04-21,BID,,,,,
79,2010-04-22,BID,,,,,
80,2010-04-23,BID,,,,,
81,2010-04-26,BID,,,,,
82,2010-04-27,BID,,,,,
83,2010-04-28,BID,,,,,
84,2010-04-29,BID,,,,,
85,2010-04-30,BID,,,,,
86,2010-05-03,BID,,,,,
87,2010-05-04,BID,,,,,
88,2010-05-05,BID,,,,,
89,2010-05-06,BID,,,,,
90,2010-05-07,BID,,,,,
91,2010-05-10,BID,,,,,
92,2010-05-11,BID,,,,,
93,2010-05-12,BID,,,,,
94,2010-05-13,BID,,,,,
95,2010-05-14,BID,,,,,
96,2010-05-17,BID,,,,,
97,2010-05-18,BID,,,,,
98,2010-05-19,BID,,,,,
99,2010-05-20,BID,,,,,
100,2010-05-21,BID,,,,,
101,2010-05-24,BID,,,,,
102,2010-05-25,BID,,,,,
103,2010-05-26,BID,,,,,
104,2010-05-27,BID,,,,,
105,2010-05-28,BID,,,,,
106,2010-05-31,BID,,,,,
107,2010-06-01,BID,,,,,
108,2010-06-02,BID,,,,,
109,2010-06-03,BID,,,,,
110,2010-06-04,BID,,,,,
111,2010-06-07,BID,,,,,
112,2010-06-08,BID,,,,,
113,2010-06-09,BID,,,,,
114,2010-06-10,BID,,,,,
115,2010-06-11,BID,,,,,
116,2010-06-14,BID,,,,,
117,2010-06-15,BID,,,,,
118,2010-06-16,BID,,,,,
119,2010-06-17,BID,,,,,
120,2010-06-18,BID,,,,,
121,2010-06-21,BID,,,,,
122,2010-06-22,BID,,,,,
123,2010-06-23,BID,,,,,
124,2010-06-24,BID,,,,,
125,2010-06-25,BID,,,,,
126,2010-06-28,BID,,,,,
