,date,ticker,open,high,low,close,volume
0,2010-01-01,MBB,,,,,
1,2010-01-04,MBB,,,,,
2,2010-01-05,MBB,,,,,
3,2010-01-06,MBB,,,,,
4,2010-01-07,MBB,,,,,
5,2010-01-08,MBB,,,,,
6,2010-01-11,MBB,,,,,
7,2010-01-12,MBB,,,,,
8,2010-01-13,MBB,,,,,
9,2010-01-14,MBB,,,,,
10,2010-01-15,MBB,,,,,
11,2010-01-18,MBB,,,,,
12,2010-01-19,MBB,,,,,
13,2010-01-20,MBB,,,,,
14,2010-01-21,MBB,,,,,
15,2010-01-22,MBB,,,,,
16,2010-01-25,MBB,,,,,
17,2010-01-26,MBB,,,,,
18,2010-01-27,MBB,,,,,
19,2010-01-28,MBB,,,,,
20,2010-01-29,MBB,,,,,
21,2010-02-01,MBB,,,,,
22,2010-02-02,MBB,,,,,
23,2010-02-03,MBB,,,,,
24,2010-02-04,MBB,,,,,
25,2010-02-05,MBB,,,,,
26,2010-02-08,MBB,,,,,
27,2010-02-09,MBB,,,,,
28,2010-02-10,MBB,,,,,
29,2010-02-11,MBB,,,,,
30,2010-02-12,MBB,,,,,
31,2010-02-15,MBB,,,,,
32,2010-02-16,MBB,,,,,
33,2010-02-17,MBB,,,,,
34,2010-02-18,MBB,,,,,
35,2010-02-19,MBB,,,,,
36,2010-02-22,MBB,,,,,
37,2010-02-23,MBB,,,,,
38,2010-02-24,MBB,,,,,
39,2010-02-25,MBB,,,,,
40,2010-02-26,MBB,,,,,
41,2010-03-01,MBB,,,,,
42,2010-03-02,MBB,,,,,
43,2010-03-03,MBB,,,,,
44,2010-03-04,MBB,,,,,
45,2010-03-05,MBB,,,,,
46,2010-03-08,MBB,,,,,
47,2010-03-09,MBB,,,,,
48,2010-03-10,MBB,,,,,
49,2010-03-11,MBB,,,,,
50,2010-03-12,MBB,,,,,
51,2010-03-15,MBB,,,,,
52,2010-03-16,MBB,,,,,
53,2010-03-17,MBB,,,,,
54,2010-03-18,MBB,,,,,
55,2010-03-19,MBB,,,,,
56,2010-03-22,MBB,,,,,
57,2010-03-23,MBB,,,,,
58,2010-03-24,MBB,,,,,
59,2010-03-25,MBB,,,,,
60,2010-03-26,MBB,,,,,
61,2010-03-29,MBB,,,,,
62,2010-03-30,MBB,,,,,
63,2010-03-31,MBB,,,,,
64,2010-04-01,MBB,,,,,
65,2010-04-02,MBB,,,,,
66,2010-04-05,MBB,,,,,
67,2010-04-06,MBB,,,,,
68,2010-04-07,MBB,,,,,
69,2010-04-08,MBB,,,,,
70,2010-04-09,MBB,,,,,
71,2010-04-12,MBB,,,,,
72,2010-04-13,MBB,,,,,
73,2010-04-14,MBB,,,,,
74,2010-04-15,MBB,,,,,
75,2010-04-16,MBB,,,,,
76,2010-04-19,MBB,,,,,
77,2010-04-20,MBB,,,,,
78,2010-04-21,MBB,,,,,
79,2010-04-22,MBB,,,,,
80,2010-04-23,MBB,,,,,
81,2010-04-26,MBB,,,,,
82,2010-04-27,MBB,,,,,
83,2010-04-28,MBB,,,,,
84,2010-04-29,MBB,,,,,
85,2010-04-30,MBB,,,,,
86,2010-05-03,MBB,,,,,
87,2010-05-04,MBB,,,,,
88,2010-05-05,MBB,,,,,
89,2010-05-06,MBB,,,,,
90,2010-05-07,MBB,,,,,
91,2010-05-10,MBB,,,,,
92,2010-05-11,MBB,,,,,
93,2010-05-12,MBB,,,,,
94,2010-05-13,MBB,,,,,
95,2010-05-14,MBB,,,,,
96,2010-05-17,MBB,,,,,
97,2010-05-18,MBB,,,,,
98,2010-05-19,MBB,,,,,
99,2010-05-20,MBB,,,,,
100,2010-05-21,MBB,,,,,
101,2010-05-24,MBB,,,,,
102,2010-05-25,MBB,,,,,
103,2010-05-26,MBB,,,,,
104,2010-05-27,MBB,,,,,
105,2010-05-28,MBB,,,,,
106,2010-05-31,MBB,,,,,
107,2010-06-01,MBB,,,,,
108,2010-06-02,MBB,,,,,
109,2010-06-03,MBB,,,,,
110,2010-06-04,MBB,,,,,
111,2010-06-07,MBB,,,,,
112,2010-06-08,MBB,,,,,
113,2010-06-09,MBB,,,,,
114,2010-06-10,MBB,,,,,
115,2010-06-11,MBB,,,,,
116,2010-06-14,MBB,,,,,
117,2010-06-15,MBB,,,,,
118,2010-06-16,MBB,,,,,
119,2010-06-17,MBB,,,,,
120,2010-06-18,MBB,,,,,
121,2010-06-21,MBB,,,,,
122,2010-06-22,MBB,,,,,
123,2010-06-23,MBB,,,,,
124,2010-06-24,MBB,,,,,
125,2010-06-25,MBB,,,,,
126,2010-06-28,MBB,,,,,
127,2010-06-29,MBB,,,,,
128,2010-06-30,MBB,,,,,
129,2010-07-01,MBB,,,,,
130,2010-07-02,MBB,,,,,
131,2010-07-05,MBB,,,,,
132,2010-07-06,MBB,,,,,
133,2010-07-07,MBB,,,,,
134,2010-07-08,MBB,,,,,
135,2010-07-09,MBB,,,,,
136,2010-07-12,MBB,,,,,
137,2010-07-13,MBB,,,,,
