,date,ticker,open,high,low,close,volume
0,2010-01-01,MSN,,,,,
1,2010-01-04,MSN,35.0,35.9,35.0,35.9,0.0
2,2010-01-05,MSN,37.6,37.6,37.4,37.6,0.0
3,2010-01-06,MSN,36.5,39.0,36.5,39.0,0.0
4,2010-01-07,MSN,39.0,39.0,38.0,38.0,0.0
5,2010-01-08,MSN,37.5,38.4,36.6,36.6,0.0
6,2010-01-11,MSN,35.5,36.5,35.0,35.3,0.0
7,2010-01-12,MSN,35.3,35.3,33.6,33.6,0.0
8,2010-01-13,MSN,33.3,35.0,33.3,34.0,0.0
9,2010-01-14,MSN,34.0,35.5,34.0,34.9,0.0
10,2010-01-15,MSN,35.4,35.4,34.9,35.0,0.0
11,2010-01-18,MSN,35.0,35.1,34.0,34.9,0.0
12,2010-01-19,MSN,34.9,35.0,34.9,35.0,0.0
13,2010-01-20,MSN,34.9,35.3,34.8,35.0,0.0
14,2010-01-21,MSN,34.9,35.1,34.8,35.0,0.0
15,2010-01-22,MSN,35.0,35.1,34.9,35.1,0.0
16,2010-01-25,MSN,35.0,35.1,34.9,35.0,0.0
17,2010-01-26,MSN,34.7,35.5,34.7,35.1,0.0
18,2010-01-27,MSN,35.0,35.1,34.9,35.0,0.0
19,2010-01-28,MSN,36.4,36.7,35.9,36.7,0.0
20,2010-01-29,MSN,37.9,37.9,36.0,36.8,0.0
21,2010-02-01,MSN,36.8,37.0,36.5,36.9,0.0
22,2010-02-02,MSN,35.5,37.1,35.5,36.8,0.0
23,2010-02-03,MSN,37.0,37.0,36.5,36.9,0.0
24,2010-02-04,MSN,36.0,37.2,36.0,36.9,0.0
25,2010-02-05,MSN,35.1,37.0,35.1,36.7,0.0
26,2010-02-08,MSN,36.7,36.8,35.5,36.7,0.0
27,2010-02-09,MSN,35.8,36.8,35.8,36.7,0.0
28,2010-02-10,MSN,35.7,37.0,35.7,35.9,0.0
29,2010-02-11,MSN,37.00279,36.0,36.0,36.0,0.0
30,2010-02-12,MSN,37.4,37.4,37.2,37.3,0.0
31,2010-02-15,MSN,,,,,
32,2010-02-16,MSN,,,,,
33,2010-02-17,MSN,,,,,
34,2010-02-18,MSN,,,,,
35,2010-02-19,MSN,,,,,
36,2010-02-22,MSN,38.9,38.9,38.0,38.3,0.0
37,2010-02-23,MSN,38.7,38.8,37.5,38.8,0.0
38,2010-02-24,MSN,38.8,38.8,38.0,38.8,0.0
39,2010-02-25,MSN,38.0,38.8,38.0,38.8,0.0
40,2010-02-26,MSN,38.8,40.7,38.2,40.7,0.0
41,2010-03-01,MSN,42.4,42.7,40.7,42.7,0.0
42,2010-03-02,MSN,44.7,44.7,43.5,44.2,0.0
43,2010-03-03,MSN,44.2,44.4,43.2,43.8,0.0
44,2010-03-04,MSN,42.0,43.8,42.0,43.0,0.0
45,2010-03-05,MSN,43.0,43.0,41.2,41.2,0.0
46,2010-03-08,MSN,39.7,41.5,39.7,41.0,0.0
47,2010-03-09,MSN,39.8,42.3,39.8,40.6,0.0
48,2010-03-10,MSN,40.0,41.0,39.1,40.5,0.0
49,2010-03-11,MSN,41.7,41.8,40.5,40.8,0.0
50,2010-03-12,MSN,41.7,41.8,41.4,41.6,0.0
51,2010-03-15,MSN,42.0,42.0,41.2,41.2,0.0
52,2010-03-16,MSN,39.9,41.5,39.2,39.2,0.0
53,2010-03-17,MSN,40.0,40.0,38.0,38.0,0.0
54,2010-03-18,MSN,39.0,39.7,38.0,39.7,0.0
55,2010-03-19,MSN,39.0,40.5,39.0,40.0,0.0
56,2010-03-22,MSN,40.4,40.4,38.0,38.0,0.0
57,2010-03-23,MSN,39.0,39.4,38.0,38.1,0.0
58,2010-03-24,MSN,38.1,39.4,38.1,38.9,0.0
59,2010-03-25,MSN,37.6,39.2,37.5,37.5,0.0
60,2010-03-26,MSN,37.5,38.1,37.2,37.4,0.0
61,2010-03-29,MSN,35.8,38.3,35.8,37.8,0.0
62,2010-03-30,MSN,37.8,38.4,37.0,37.2,0.0
63,2010-03-31,MSN,37.2,37.8,36.7,36.7,0.0
64,2010-04-01,MSN,36.4,37.5,36.4,37.0,0.0
65,2010-04-02,MSN,37.0,38.3,37.0,38.3,0.0
66,2010-04-05,MSN,38.3,39.0,38.2,38.3,0.0
67,2010-04-06,MSN,37.9,38.7,37.9,38.4,0.0
68,2010-04-07,MSN,38.1,38.4,37.8,38.0,0.0
69,2010-04-08,MSN,38.5,38.5,37.8,37.8,0.0
70,2010-04-09,MSN,37.6,38.4,37.5,37.8,0.0
71,2010-04-12,MSN,39.6,39.6,39.6,39.6,0.0
72,2010-04-13,MSN,41.5,41.5,41.0,41.5,0.0
73,2010-04-14,MSN,40.5,41.0,39.5,40.0,0.0
74,2010-04-15,MSN,40.5,40.5,39.0,40.0,0.0
75,2010-04-16,MSN,39.5,40.0,39.0,40.0,0.0
76,2010-04-19,MSN,38.8,39.9,38.2,38.2,0.0
77,2010-04-20,MSN,38.2,39.4,38.2,38.5,0.0
78,2010-04-21,MSN,39.0,40.4,38.5,40.4,0.0
79,2010-04-22,MSN,39.5,40.9,39.0,39.0,0.0
80,2010-04-23,MSN,,,,,
81,2010-04-26,MSN,39.1,40.0,39.0,39.1,0.0
82,2010-04-27,MSN,39.1,39.5,39.0,39.4,0.0
83,2010-04-28,MSN,39.4,39.5,39.4,39.4,0.0
84,2010-04-29,MSN,39.5,41.3,39.5,41.3,0.0
85,2010-04-30,MSN,,,,,
86,2010-05-03,MSN,,,,,
87,2010-05-04,MSN,43.3,43.3,43.0,43.3,0.0
88,2010-05-05,MSN,45.4,45.4,43.4,45.4,0.0
89,2010-05-06,MSN,45.5,47.0,45.5,47.0,0.0
90,2010-05-07,MSN,47.0,47.0,44.8,46.1,0.0
91,2010-05-10,MSN,46.9,46.9,44.5,45.4,0.0
92,2010-05-11,MSN,44.0,44.8,43.2,43.5,0.0
93,2010-05-12,MSN,43.5,43.5,41.4,41.4,0.0
94,2010-05-13,MSN,41.4,43.0,40.0,40.0,0.0
95,2010-05-14,MSN,42.0,42.0,42.0,42.0,0.0
96,2010-05-17,MSN,44.1,44.1,44.1,44.1,0.0
97,2010-05-18,MSN,46.2,46.3,42.5,46.3,0.0
98,2010-05-19,MSN,47.7,48.6,46.4,48.6,0.0
99,2010-05-20,MSN,47.6,51.0,47.6,50.0,0.0
100,2010-05-21,MSN,47.5,50.0,47.5,49.8,0.0
101,2010-05-24,MSN,47.4,49.5,47.4,47.4,0.0
102,2010-05-25,MSN,45.1,47.5,45.1,47.5,0.0
103,2010-05-26,MSN,49.0,49.0,45.6,48.0,0.0
104,2010-05-27,MSN,48.1,48.1,47.9,48.1,0.0
105,2010-05-28,MSN,47.0,50.5,47.0,50.5,0.0
106,2010-05-31,MSN,50.5,53.0,50.0,52.5,0.0
107,2010-06-01,MSN,53.0,53.0,52.5,52.5,0.0
108,2010-06-02,MSN,50.5,55.0,50.5,54.5,0.0
109,2010-06-03,MSN,54.5,55.0,54.0,54.5,0.0
110,2010-06-04,MSN,54.5,54.5,52.0,53.0,0.0
111,2010-06-07,MSN,50.5,53.0,50.5,50.5,0.0
112,2010-06-08,MSN,50.5,51.0,48.6,50.5,0.0
113,2010-06-09,MSN,50.5,51.0,49.0,49.5,0.0
114,2010-06-10,MSN,48.2,49.5,48.2,49.5,0.0
115,2010-06-11,MSN,50.0,50.5,48.6,48.6,0.0
116,2010-06-14,MSN,48.0,51.0,48.0,51.0,0.0
117,2010-06-15,MSN,52.5,52.5,51.0,51.0,0.0
118,2010-06-16,MSN,52.5,52.5,50.0,51.0,0.0
119,2010-06-17,MSN,51.5,51.5,50.5,51.5,0.0
120,2010-06-18,MSN,52.5,51.5,51.5,51.5,0.0
121,2010-06-21,MSN,51.0,53.0,51.0,52.5,0.0
122,2010-06-22,MSN,51.5,53.0,51.5,52.5,0.0
123,2010-06-23,MSN,50.0,53.0,50.0,52.5,0.0
124,2010-06-24,MSN,52.5,52.5,51.0,51.0,0.0
125,2010-06-25,MSN,49.0,52.0,49.0,51.0,0.0
126,2010-06-28,MSN,51.5,51.5,49.0,50.0,0.0
127,2010-06-29,MSN,51.0,51.5,50.0,51.0,0.0
128,2010-06-30,MSN,51.0,51.5,50.5,51.0,0.0
129,2010-07-01,MSN,49.5,51.0,49.5,51.0,0.0
130,2010-07-02,MSN,51.0,52.0,51.0,51.0,0.0
131,2010-07-05,MSN,52.0,52.0,50.5,50.5,0.0
132,2010-07-06,MSN,52.0,52.0,49.5,51.0,0.0
133,2010-07-07,MSN,50.0,52.0,50.0,51.0,0.0
134,2010-07-08,MSN,51.5,52.0,51.0,52.0,0.0
135,2010-07-09,MSN,52.0,52.0,51.5,52.0,0.0
136,2010-07-12,MSN,51.0,52.0,51.0,52.0,0.0
137,2010-07-13,MSN,50.5,52.0,50.5,50.5,0.0
138,2010-07-14,MSN,50.5,52.0,50.5,51.0,0.0
139,2010-07-15,MSN,50.5,51.5,50.5,51.5,0.0
140,2010-07-16,MSN,51.5,51.5,51.5,51.5,0.0
141,2010-07-19,MSN,50.0,52.0,49.5,51.5,0.0
142,2010-07-20,MSN,51.5,52.0,50.0,51.5,0.0
143,2010-07-21,MSN,52.0,52.5,50.5,52.5,0.0
144,2010-07-22,MSN,52.5,53.0,50.0,52.5,0.0
145,2010-07-23,MSN,53.0,53.0,50.5,50.5,0.0
146,2010-07-26,MSN,52.5,52.5,50.0,50.0,0.0
147,2010-07-27,MSN,50.0,52.0,50.0,50.5,0.0
148,2010-07-28,MSN,52.0,52.0,50.0,50.0,0.0
149,2010-07-29,MSN,49.1,51.0,49.1,51.0,0.0
150,2010-07-30,MSN,50.5,52.5,50.5,52.0,0.0
151,2010-08-02,MSN,52.5,53.0,51.0,52.5,0.0
152,2010-08-03,MSN,53.5,53.5,51.5,52.5,0.0
153,2010-08-04,MSN,52.0,52.5,51.5,52.5,0.0
154,2010-08-05,MSN,51.5,53.0,51.5,52.0,0.0
155,2010-08-06,MSN,52.5,52.5,51.0,52.0,0.0
156,2010-08-09,MSN,51.0,52.5,51.0,51.5,0.0
157,2010-08-10,MSN,51.0,51.5,50.0,51.0,0.0
158,2010-08-11,MSN,50.0,52.0,50.0,50.5,0.0
159,2010-08-12,MSN,51.0,51.0,48.2,48.2,0.0
160,2010-08-13,MSN,46.3,50.5,46.3,49.8,0.0
161,2010-08-16,MSN,51.5,51.5,50.0,51.0,0.0
162,2010-08-17,MSN,50.0,52.0,49.5,51.5,0.0
163,2010-08-18,MSN,51.5,51.5,49.0,51.0,0.0
164,2010-08-19,MSN,49.4,51.0,49.4,50.5,0.0
165,2010-08-20,MSN,50.5,50.5,48.1,48.6,0.0
166,2010-08-23,MSN,49.0,49.0,47.6,48.6,0.0
167,2010-08-24,MSN,48.6,49.0,46.3,49.0,0.0
168,2010-08-25,MSN,47.0,47.2,46.6,47.0,0.0
169,2010-08-26,MSN,47.4,47.4,44.7,46.0,0.0
170,2010-08-27,MSN,46.0,46.0,44.6,45.0,0.0
171,2010-08-30,MSN,46.0,47.2,43.0,45.0,0.0
172,2010-08-31,MSN,45.0,46.0,44.0,45.0,0.0
173,2010-09-01,MSN,45.0,47.2,45.0,46.5,0.0
174,2010-09-02,MSN,,,,,
175,2010-09-03,MSN,,,,,
176,2010-09-06,MSN,47.5,48.0,46.8,48.0,0.0
177,2010-09-07,MSN,49.4,49.4,46.5,48.0,0.0
178,2010-09-08,MSN,45.6,49.0,45.6,49.0,0.0
179,2010-09-09,MSN,47.5,49.8,47.5,49.0,0.0
180,2010-09-10,MSN,49.0,49.5,48.0,49.0,0.0
181,2010-09-13,MSN,49.0,51.0,47.8,49.0,0.0
182,2010-09-14,MSN,49.6,49.6,47.5,49.4,0.0
183,2010-09-15,MSN,48.0,49.5,48.0,49.4,0.0
184,2010-09-16,MSN,47.6,49.9,47.6,49.4,0.0
185,2010-09-17,MSN,49.4,49.5,47.5,49.5,0.0
186,2010-09-20,MSN,50.0,51.0,48.1,48.6,0.0
187,2010-09-21,MSN,49.9,49.9,48.5,49.5,0.0
188,2010-09-22,MSN,49.9,49.9,49.0,49.5,0.0
189,2010-09-23,MSN,49.2,49.8,48.5,49.4,0.0
190,2010-09-24,MSN,49.8,49.8,49.2,49.4,0.0
191,2010-09-27,MSN,48.0,49.7,48.0,49.4,0.0
192,2010-09-28,MSN,48.5,49.9,48.5,49.9,0.0
193,2010-09-29,MSN,49.9,50.5,49.5,49.5,0.0
194,2010-09-30,MSN,49.7,49.7,48.2,49.5,0.0
195,2010-10-01,MSN,49.6,51.0,49.5,51.0,0.0
196,2010-10-04,MSN,52.0,52.0,49.0,50.5,0.0
197,2010-10-05,MSN,49.0,51.0,49.0,50.5,0.0
198,2010-10-06,MSN,51.0,51.5,49.5,51.5,0.0
199,2010-10-07,MSN,49.5,54.0,49.5,52.5,0.0
200,2010-10-08,MSN,50.5,55.0,50.5,54.0,0.0
201,2010-10-11,MSN,55.5,55.5,53.0,54.5,0.0
202,2010-10-12,MSN,54.5,55.0,54.0,54.0,0.0
203,2010-10-13,MSN,53.0,54.5,53.0,54.5,0.0
204,2010-10-14,MSN,53.5,54.5,53.5,53.5,0.0
205,2010-10-15,MSN,53.5,54.0,53.0,53.0,0.0
206,2010-10-18,MSN,54.5,55.5,53.0,55.5,0.0
207,2010-10-19,MSN,57.5,57.5,54.0,56.0,0.0
208,2010-10-20,MSN,56.5,56.5,54.5,56.0,0.0
209,2010-10-21,MSN,55.0,56.0,54.0,56.0,0.0
210,2010-10-22,MSN,56.5,56.5,54.0,55.0,0.0
211,2010-10-25,MSN,56.0,56.5,54.5,56.5,0.0
212,2010-10-26,MSN,57.5,58.0,55.5,56.5,0.0
213,2010-10-27,MSN,57.0,57.0,55.0,55.0,0.0
214,2010-10-28,MSN,55.5,57.5,54.0,56.0,0.0
215,2010-10-29,MSN,57.5,57.5,56.0,57.0,0.0
216,2010-11-01,MSN,58.0,58.0,56.5,57.0,0.0
217,2010-11-02,MSN,56.5,57.0,56.0,56.5,0.0
218,2010-11-03,MSN,57.0,57.0,56.5,56.5,0.0
219,2010-11-04,MSN,57.0,59.0,57.0,59.0,0.0
220,2010-11-05,MSN,60.5,61.0,58.5,60.5,0.0
221,2010-11-08,MSN,61.5,63.5,59.0,63.5,0.0
222,2010-11-09,MSN,66.5,66.5,63.0,63.0,0.0
223,2010-11-10,MSN,61.0,65.0,60.5,63.0,0.0
224,2010-11-11,MSN,65.0,65.0,61.0,61.0,0.0
225,2010-11-12,MSN,63.0,64.0,61.0,63.0,0.0
226,2010-11-15,MSN,61.5,65.5,61.5,63.5,0.0
227,2010-11-16,MSN,62.5,64.0,62.0,63.5,0.0
228,2010-11-17,MSN,63.5,63.5,63.0,63.5,0.0
229,2010-11-18,MSN,63.5,65.0,63.0,63.5,0.0
230,2010-11-19,MSN,65.0,65.0,61.0,61.0,0.0
231,2010-11-22,MSN,62.5,62.5,60.5,62.0,0.0
232,2010-11-23,MSN,62.5,62.5,61.0,61.0,0.0
233,2010-11-24,MSN,61.0,62.0,60.5,62.0,0.0
234,2010-11-25,MSN,62.0,65.0,62.0,65.0,0.0
235,2010-11-26,MSN,66.0,67.0,66.0,67.0,0.0
236,2010-11-29,MSN,65.5,66.5,65.0,66.5,0.0
237,2010-11-30,MSN,68.0,68.0,66.0,66.0,0.0
238,2010-12-01,MSN,66.0,67.0,65.0,66.0,0.0
239,2010-12-02,MSN,65.0,66.0,63.5,66.0,0.0
240,2010-12-03,MSN,66.0,66.0,63.5,63.5,0.0
241,2010-12-06,MSN,62.0,62.5,60.5,61.0,0.0
242,2010-12-07,MSN,60.0,61.0,58.5,61.0,0.0
243,2010-12-08,MSN,62.0,62.0,61.0,61.0,0.0
244,2010-12-09,MSN,61.0,63.0,61.0,61.5,0.0
245,2010-12-10,MSN,62.5,62.5,58.5,62.0,0.0
246,2010-12-13,MSN,62.5,64.5,62.5,64.0,0.0
247,2010-12-14,MSN,65.0,65.0,61.5,64.0,0.0
248,2010-12-15,MSN,64.0,65.0,62.0,65.0,0.0
249,2010-12-16,MSN,62.5,66.0,62.5,63.0,0.0
250,2010-12-17,MSN,65.0,65.5,64.0,64.0,0.0
251,2010-12-20,MSN,65.5,65.5,64.0,64.0,0.0
252,2010-12-21,MSN,64.0,66.0,64.0,66.0,0.0
253,2010-12-22,MSN,67.0,69.0,67.0,69.0,0.0
254,2010-12-23,MSN,69.5,70.0,67.0,67.0,0.0
255,2010-12-24,MSN,68.0,69.5,64.0,68.0,0.0
256,2010-12-27,MSN,70.0,70.0,65.5,66.0,0.0
257,2010-12-28,MSN,68.5,68.5,66.0,68.5,0.0
258,2010-12-29,MSN,69.5,71.0,69.0,71.0,0.0
259,2010-12-30,MSN,72.0,73.0,71.0,73.0,0.0
260,2010-12-31,MSN,69.5,75.0,69.5,75.0,0.0
261,2011-01-03,MSN,,,,,
262,2011-01-04,MSN,77.0,78.0,72.0,78.0,0.0
263,2011-01-05,MSN,78.5,80.0,76.5,77.0,0.0
264,2011-01-06,MSN,78.0,78.0,76.0,77.0,0.0
265,2011-01-07,MSN,78.0,78.0,75.5,77.0,0.0
266,2011-01-10,MSN,79.5,79.5,75.0,75.0,0.0
267,2011-01-11,MSN,77.0,77.0,73.5,76.0,0.0
268,2011-01-12,MSN,78.0,78.0,74.5,75.0,0.0
269,2011-01-13,MSN,77.0,77.0,73.5,74.0,0.0
270,2011-01-14,MSN,76.5,76.5,73.5,73.5,0.0
271,2011-01-17,MSN,73.5,77.0,73.5,77.0,0.0
272,2011-01-18,MSN,77.0,80.5,77.0,80.5,0.0
273,2011-01-19,MSN,84.5,84.5,81.0,84.5,0.0
274,2011-01-20,MSN,86.5,88.5,86.5,88.5,0.0
275,2011-01-21,MSN,92.5,92.5,92.5,92.5,0.0
276,2011-01-24,MSN,97.0,97.0,88.0,88.0,0.0
277,2011-01-25,MSN,84.5,88.0,84.0,84.5,0.0
278,2011-01-26,MSN,82.5,87.0,82.5,87.0,0.0
279,2011-01-27,MSN,87.0,90.0,85.0,85.0,0.0
280,2011-01-28,MSN,85.0,88.0,84.0,86.0,0.0
281,2011-01-31,MSN,,,,,
282,2011-02-01,MSN,,,,,
283,2011-02-02,MSN,,,,,
284,2011-02-03,MSN,,,,,
285,2011-02-04,MSN,,,,,
286,2011-02-07,MSN,,,,,
287,2011-02-08,MSN,88.0,88.0,86.0,86.0,0.0
288,2011-02-09,MSN,88.0,90.0,88.0,89.5,0.0
289,2011-02-10,MSN,90.0,90.0,88.0,88.0,0.0
290,2011-02-11,MSN,89.5,89.5,86.0,88.5,0.0
291,2011-02-14,MSN,89.5,89.5,86.5,86.5,0.0
292,2011-02-15,MSN,86.0,86.5,84.5,86.5,0.0
293,2011-02-16,MSN,87.0,89.0,86.5,87.0,0.0
294,2011-02-17,MSN,85.0,89.0,85.0,89.0,0.0
295,2011-02-18,MSN,89.0,90.0,87.5,89.0,0.0
296,2011-02-21,MSN,92.0,92.0,85.0,87.0,0.0
297,2011-02-22,MSN,83.0,83.0,83.0,83.0,0.0
298,2011-02-23,MSN,80.0,81.0,79.0,80.0,0.0
299,2011-02-24,MSN,76.0,79.0,76.0,76.0,0.0
300,2011-02-25,MSN,79.0,79.5,76.0,79.5,0.0
301,2011-02-28,MSN,83.0,83.0,83.0,83.0,0.0
302,2011-03-01,MSN,83.0,86.0,83.0,85.5,0.0
303,2011-03-02,MSN,86.0,86.0,82.0,82.0,0.0
304,2011-03-03,MSN,80.0,84.0,80.0,81.0,0.0
305,2011-03-04,MSN,84.0,85.0,81.0,85.0,0.0
306,2011-03-07,MSN,89.0,89.0,86.0,89.0,0.0
307,2011-03-08,MSN,91.0,93.0,91.0,92.0,0.0
308,2011-03-09,MSN,90.0,95.0,87.5,90.5,0.0
309,2011-03-10,MSN,87.0,93.5,87.0,92.0,0.0
310,2011-03-11,MSN,90.0,96.0,90.0,93.0,0.0
311,2011-03-14,MSN,95.0,95.0,88.5,88.5,0.0
312,2011-03-15,MSN,85.0,91.0,84.5,84.5,0.0
313,2011-03-16,MSN,87.0,87.5,82.5,84.5,0.0
314,2011-03-17,MSN,88.5,88.5,80.5,80.5,0.0
315,2011-03-18,MSN,84.0,84.0,76.5,78.0,0.0
316,2011-03-21,MSN,81.5,81.5,78.0,81.5,0.0
317,2011-03-22,MSN,85.5,85.5,82.5,85.5,0.0
318,2011-03-23,MSN,84.0,85.5,83.5,83.5,0.0
319,2011-03-24,MSN,82.0,84.5,80.0,80.0,0.0
320,2011-03-25,MSN,81.0,81.0,78.5,79.0,0.0
321,2011-03-28,MSN,79.0,82.0,79.0,79.0,0.0
322,2011-03-29,MSN,80.0,81.0,78.0,79.0,0.0
323,2011-03-30,MSN,78.0,79.5,78.0,79.5,0.0
324,2011-03-31,MSN,80.0,82.0,80.0,82.0,0.0
325,2011-04-01,MSN,82.0,82.0,79.5,82.0,0.0
326,2011-04-04,MSN,81.0,81.0,80.0,80.0,0.0
327,2011-04-05,MSN,80.0,82.0,80.0,80.0,0.0
328,2011-04-06,MSN,80.0,82.5,80.0,81.5,0.0
329,2011-04-07,MSN,81.5,81.5,80.0,81.0,0.0
330,2011-04-08,MSN,81.5,83.0,80.0,83.0,0.0
331,2011-04-11,MSN,,,,,
332,2011-04-12,MSN,,,,,
333,2011-04-13,MSN,85.0,85.5,83.0,83.0,0.0
