,date,ticker,open,high,low,close,volume
0,2010-01-01,PLX,,,,,
1,2010-01-04,PLX,,,,,
2,2010-01-05,PLX,,,,,
3,2010-01-06,PLX,,,,,
4,2010-01-07,PLX,,,,,
5,2010-01-08,PLX,,,,,
6,2010-01-11,PLX,,,,,
7,2010-01-12,PLX,,,,,
8,2010-01-13,PLX,,,,,
9,2010-01-14,PLX,,,,,
10,2010-01-15,PLX,,,,,
11,2010-01-18,PLX,,,,,
12,2010-01-19,PLX,,,,,
13,2010-01-20,PLX,,,,,
14,2010-01-21,PLX,,,,,
15,2010-01-22,PLX,,,,,
16,2010-01-25,PLX,,,,,
17,2010-01-26,PLX,,,,,
18,2010-01-27,PLX,,,,,
19,2010-01-28,PLX,,,,,
20,2010-01-29,PLX,,,,,
21,2010-02-01,PLX,,,,,
22,2010-02-02,PLX,,,,,
23,2010-02-03,PLX,,,,,
24,2010-02-04,PLX,,,,,
25,2010-02-05,PLX,,,,,
26,2010-02-08,PLX,,,,,
27,2010-02-09,PLX,,,,,
28,2010-02-10,PLX,,,,,
29,2010-02-11,PLX,,,,,
30,2010-02-12,PLX,,,,,
31,2010-02-15,PLX,,,,,
32,2010-02-16,PLX,,,,,
33,2010-02-17,PLX,,,,,
34,2010-02-18,PLX,,,,,
35,2010-02-19,PLX,,,,,
36,2010-02-22,PLX,,,,,
37,2010-02-23,PLX,,,,,
38,2010-02-24,PLX,,,,,
39,2010-02-25,PLX,,,,,
40,2010-02-26,PLX,,,,,
41,2010-03-01,PLX,,,,,
42,2010-03-02,PLX,,,,,
43,2010-03-03,PLX,,,,,
44,2010-03-04,PLX,,,,,
45,2010-03-05,PLX,,,,,
46,2010-03-08,PLX,,,,,
47,2010-03-09,PLX,,,,,
48,2010-03-10,PLX,,,,,
49,2010-03-11,PLX,,,,,
50,2010-03-12,PLX,,,,,
51,2010-03-15,PLX,,,,,
52,2010-03-16,PLX,,,,,
53,2010-03-17,PLX,,,,,
54,2010-03-18,PLX,,,,,
55,2010-03-19,PLX,,,,,
56,2010-03-22,PLX,,,,,
57,2010-03-23,PLX,,,,,
58,2010-03-24,PLX,,,,,
59,2010-03-25,PLX,,,,,
60,2010-03-26,PLX,,,,,
61,2010-03-29,PLX,,,,,
62,2010-03-30,PLX,,,,,
63,2010-03-31,PLX,,,,,
64,2010-04-01,PLX,,,,,
65,2010-04-02,PLX,,,,,
66,2010-04-05,PLX,,,,,
67,2010-04-06,PLX,,,,,
68,2010-04-07,PLX,,,,,
69,2010-04-08,PLX,,,,,
70,2010-04-09,PLX,,,,,
71,2010-04-12,PLX,,,,,
