,date,ticker,open,high,low,close,volume
0,2010-01-01,POW,,,,,
1,2010-01-04,POW,,,,,
2,2010-01-05,POW,,,,,
3,2010-01-06,POW,,,,,
4,2010-01-07,POW,,,,,
5,2010-01-08,POW,,,,,
6,2010-01-11,POW,,,,,
7,2010-01-12,POW,,,,,
8,2010-01-13,POW,,,,,
9,2010-01-14,POW,,,,,
10,2010-01-15,POW,,,,,
11,2010-01-18,POW,,,,,
12,2010-01-19,POW,,,,,
13,2010-01-20,POW,,,,,
14,2010-01-21,POW,,,,,
15,2010-01-22,POW,,,,,
16,2010-01-25,POW,,,,,
17,2010-01-26,POW,,,,,
18,2010-01-27,POW,,,,,
19,2010-01-28,POW,,,,,
20,2010-01-29,POW,,,,,
21,2010-02-01,POW,,,,,
22,2010-02-02,POW,,,,,
23,2010-02-03,POW,,,,,
24,2010-02-04,POW,,,,,
25,2010-02-05,POW,,,,,
26,2010-02-08,POW,,,,,
27,2010-02-09,POW,,,,,
28,2010-02-10,POW,,,,,
29,2010-02-11,POW,,,,,
30,2010-02-12,POW,,,,,
31,2010-02-15,POW,,,,,
32,2010-02-16,POW,,,,,
33,2010-02-17,POW,,,,,
34,2010-02-18,POW,,,,,
35,2010-02-19,POW,,,,,
36,2010-02-22,POW,,,,,
37,2010-02-23,POW,,,,,
38,2010-02-24,POW,,,,,
39,2010-02-25,POW,,,,,
40,2010-02-26,POW,,,,,
41,2010-03-01,POW,,,,,
42,2010-03-02,POW,,,,,
43,2010-03-03,POW,,,,,
44,2010-03-04,POW,,,,,
45,2010-03-05,POW,,,,,
46,2010-03-08,POW,,,,,
47,2010-03-09,POW,,,,,
48,2010-03-10,POW,,,,,
49,2010-03-11,POW,,,,,
50,2010-03-12,POW,,,,,
51,2010-03-15,POW,,,,,
52,2010-03-16,POW,,,,,
53,2010-03-17,POW,,,,,
54,2010-03-18,POW,,,,,
55,2010-03-19,POW,,,,,
56,2010-03-22,POW,,,,,
57,2010-03-23,POW,,,,,
58,2010-03-24,POW,,,,,
