,date,ticker,open,high,low,close,volume
0,2010-01-01,VJC,,,,,
1,2010-01-04,VJC,,,,,
2,2010-01-05,VJC,,,,,
3,2010-01-06,VJC,,,,,
4,2010-01-07,VJC,,,,,
5,2010-01-08,VJC,,,,,
6,2010-01-11,VJC,,,,,
7,2010-01-12,VJC,,,,,
8,2010-01-13,VJC,,,,,
9,2010-01-14,VJC,,,,,
10,2010-01-15,VJC,,,,,
11,2010-01-18,VJC,,,,,
12,2010-01-19,VJC,,,,,
13,2010-01-20,VJC,,,,,
14,2010-01-21,VJC,,,,,
15,2010-01-22,VJC,,,,,
16,2010-01-25,VJC,,,,,
17,2010-01-26,VJC,,,,,
18,2010-01-27,VJC,,,,,
19,2010-01-28,VJC,,,,,
20,2010-01-29,VJC,,,,,
21,2010-02-01,VJC,,,,,
22,2010-02-02,VJC,,,,,
23,2010-02-03,VJC,,,,,
24,2010-02-04,VJC,,,,,
25,2010-02-05,VJC,,,,,
26,2010-02-08,VJC,,,,,
27,2010-02-09,VJC,,,,,
28,2010-02-10,VJC,,,,,
29,2010-02-11,VJC,,,,,
30,2010-02-12,VJC,,,,,
31,2010-02-15,VJC,,,,,
32,2010-02-16,VJC,,,,,
33,2010-02-17,VJC,,,,,
34,2010-02-18,VJC,,,,,
35,2010-02-19,VJC,,,,,
36,2010-02-22,VJC,,,,,
37,2010-02-23,VJC,,,,,
38,2010-02-24,VJC,,,,,
39,2010-02-25,VJC,,,,,
40,2010-02-26,VJC,,,,,
41,2010-03-01,VJC,,,,,
42,2010-03-02,VJC,,,,,
43,2010-03-03,VJC,,,,,
44,2010-03-04,VJC,,,,,
45,2010-03-05,VJC,,,,,
46,2010-03-08,VJC,,,,,
47,2010-03-09,VJC,,,,,
48,2010-03-10,VJC,,,,,
49,2010-03-11,VJC,,,,,
50,2010-03-12,VJC,,,,,
51,2010-03-15,VJC,,,,,
52,2010-03-16,VJC,,,,,
53,2010-03-17,VJC,,,,,
54,2010-03-18,VJC,,,,,
55,2010-03-19,VJC,,,,,
56,2010-03-22,VJC,,,,,
57,2010-03-23,VJC,,,,,
58,2010-03-24,VJC,,,,,
59,2010-03-25,VJC,,,,,
60,2010-03-26,VJC,,,,,
61,2010-03-29,VJC,,,,,
62,2010-03-30,VJC,,,,,
63,2010-03-31,VJC,,,,,
64,2010-04-01,VJC,,,,,
65,2010-04-02,VJC,,,,,
66,2010-04-05,VJC,,,,,
67,2010-04-06,VJC,,,,,
68,2010-04-07,VJC,,,,,
69,2010-04-08,VJC,,,,,
70,2010-04-09,VJC,,,,,
71,2010-04-12,VJC,,,,,
72,2010-04-13,VJC,,,,,
73,2010-04-14,VJC,,,,,
74,2010-04-15,VJC,,,,,
75,2010-04-16,VJC,,,,,
76,2010-04-19,VJC,,,,,
77,2010-04-20,VJC,,,,,
78,2010-04-21,VJC,,,,,
79,2010-04-22,VJC,,,,,
80,2010-04-23,VJC,,,,,
81,2010-04-26,VJC,,,,,
82,2010-04-27,VJC,,,,,
83,2010-04-28,VJC,,,,,
84,2010-04-29,VJC,,,,,
85,2010-04-30,VJC,,,,,
86,2010-05-03,VJC,,,,,
