,date,ticker,open,high,low,close,volume
0,2010-01-01,VPB,,,,,
1,2010-01-04,VPB,,,,,
2,2010-01-05,VPB,,,,,
3,2010-01-06,VPB,,,,,
4,2010-01-07,VPB,,,,,
5,2010-01-08,VPB,,,,,
6,2010-01-11,VPB,,,,,
7,2010-01-12,VPB,,,,,
8,2010-01-13,VPB,,,,,
9,2010-01-14,VPB,,,,,
10,2010-01-15,VPB,,,,,
11,2010-01-18,VPB,,,,,
12,2010-01-19,VPB,,,,,
13,2010-01-20,VPB,,,,,
14,2010-01-21,VPB,,,,,
15,2010-01-22,VPB,,,,,
16,2010-01-25,VPB,,,,,
17,2010-01-26,VPB,,,,,
18,2010-01-27,VPB,,,,,
19,2010-01-28,VPB,,,,,
20,2010-01-29,VPB,,,,,
21,2010-02-01,VPB,,,,,
22,2010-02-02,VPB,,,,,
23,2010-02-03,VPB,,,,,
24,2010-02-04,VPB,,,,,
25,2010-02-05,VPB,,,,,
26,2010-02-08,VPB,,,,,
27,2010-02-09,VPB,,,,,
28,2010-02-10,VPB,,,,,
29,2010-02-11,VPB,,,,,
30,2010-02-12,VPB,,,,,
31,2010-02-15,VPB,,,,,
32,2010-02-16,VPB,,,,,
33,2010-02-17,VPB,,,,,
34,2010-02-18,VPB,,,,,
35,2010-02-19,VPB,,,,,
36,2010-02-22,VPB,,,,,
37,2010-02-23,VPB,,,,,
38,2010-02-24,VPB,,,,,
39,2010-02-25,VPB,,,,,
40,2010-02-26,VPB,,,,,
41,2010-03-01,VPB,,,,,
42,2010-03-02,VPB,,,,,
43,2010-03-03,VPB,,,,,
44,2010-03-04,VPB,,,,,
45,2010-03-05,VPB,,,,,
46,2010-03-08,VPB,,,,,
47,2010-03-09,VPB,,,,,
48,2010-03-10,VPB,,,,,
49,2010-03-11,VPB,,,,,
50,2010-03-12,VPB,,,,,
51,2010-03-15,VPB,,,,,
52,2010-03-16,VPB,,,,,
53,2010-03-17,VPB,,,,,
54,2010-03-18,VPB,,,,,
55,2010-03-19,VPB,,,,,
56,2010-03-22,VPB,,,,,
57,2010-03-23,VPB,,,,,
58,2010-03-24,VPB,,,,,
59,2010-03-25,VPB,,,,,
60,2010-03-26,VPB,,,,,
61,2010-03-29,VPB,,,,,
62,2010-03-30,VPB,,,,,
63,2010-03-31,VPB,,,,,
64,2010-04-01,VPB,,,,,
65,2010-04-02,VPB,,,,,
66,2010-04-05,VPB,,,,,
67,2010-04-06,VPB,,,,,
68,2010-04-07,VPB,,,,,
69,2010-04-08,VPB,,,,,
70,2010-04-09,VPB,,,,,
71,2010-04-12,VPB,,,,,
72,2010-04-13,VPB,,,,,
73,2010-04-14,VPB,,,,,
74,2010-04-15,VPB,,,,,
75,2010-04-16,VPB,,,,,
76,2010-04-19,VPB,,,,,
77,2010-04-20,VPB,,,,,
78,2010-04-21,VPB,,,,,
79,2010-04-22,VPB,,,,,
80,2010-04-23,VPB,,,,,
81,2010-04-26,VPB,,,,,
82,2010-04-27,VPB,,,,,
83,2010-04-28,VPB,,,,,
84,2010-04-29,VPB,,,,,
85,2010-04-30,VPB,,,,,
86,2010-05-03,VPB,,,,,
87,2010-05-04,VPB,,,,,
88,2010-05-05,VPB,,,,,
89,2010-05-06,VPB,,,,,
90,2010-05-07,VPB,,,,,
91,2010-05-10,VPB,,,,,
92,2010-05-11,VPB,,,,,
93,2010-05-12,VPB,,,,,
94,2010-05-13,VPB,,,,,
95,2010-05-14,VPB,,,,,
96,2010-05-17,VPB,,,,,
97,2010-05-18,VPB,,,,,
98,2010-05-19,VPB,,,,,
99,2010-05-20,VPB,,,,,
100,2010-05-21,VPB,,,,,
101,2010-05-24,VPB,,,,,
102,2010-05-25,VPB,,,,,
103,2010-05-26,VPB,,,,,
104,2010-05-27,VPB,,,,,
105,2010-05-28,VPB,,,,,
106,2010-05-31,VPB,,,,,
107,2010-06-01,VPB,,,,,
108,2010-06-02,VPB,,,,,
109,2010-06-03,VPB,,,,,
110,2010-06-04,VPB,,,,,
111,2010-06-07,VPB,,,,,
112,2010-06-08,VPB,,,,,
113,2010-06-09,VPB,,,,,
114,2010-06-10,VPB,,,,,
115,2010-06-11,VPB,,,,,
116,2010-06-14,VPB,,,,,
117,2010-06-15,VPB,,,,,
118,2010-06-16,VPB,,,,,
119,2010-06-17,VPB,,,,,
120,2010-06-18,VPB,,,,,
121,2010-06-21,VPB,,,,,
122,2010-06-22,VPB,,,,,
123,2010-06-23,VPB,,,,,
124,2010-06-24,VPB,,,,,
125,2010-06-25,VPB,,,,,
126,2010-06-28,VPB,,,,,
127,2010-06-29,VPB,,,,,
128,2010-06-30,VPB,,,,,
129,2010-07-01,VPB,,,,,
130,2010-07-02,VPB,,,,,
131,2010-07-05,VPB,,,,,
132,2010-07-06,VPB,,,,,
133,2010-07-07,VPB,,,,,
134,2010-07-08,VPB,,,,,
135,2010-07-09,VPB,,,,,
136,2010-07-12,VPB,,,,,
137,2010-07-13,VPB,,,,,
138,2010-07-14,VPB,,,,,
139,2010-07-15,VPB,,,,,
140,2010-07-16,VPB,,,,,
141,2010-07-19,VPB,,,,,
142,2010-07-20,VPB,,,,,
143,2010-07-21,VPB,,,,,
144,2010-07-22,VPB,,,,,
145,2010-07-23,VPB,,,,,
146,2010-07-26,VPB,,,,,
147,2010-07-27,VPB,,,,,
148,2010-07-28,VPB,,,,,
149,2010-07-29,VPB,,,,,
150,2010-07-30,VPB,,,,,
151,2010-08-02,VPB,,,,,
152,2010-08-03,VPB,,,,,
153,2010-08-04,VPB,,,,,
154,2010-08-05,VPB,,,,,
155,2010-08-06,VPB,,,,,
156,2010-08-09,VPB,,,,,
157,2010-08-10,VPB,,,,,
158,2010-08-11,VPB,,,,,
159,2010-08-12,VPB,,,,,
160,2010-08-13,VPB,,,,,
161,2010-08-16,VPB,,,,,
162,2010-08-17,VPB,,,,,
163,2010-08-18,VPB,,,,,
164,2010-08-19,VPB,,,,,
165,2010-08-20,VPB,,,,,
166,2010-08-23,VPB,,,,,
167,2010-08-24,VPB,,,,,
168,2010-08-25,VPB,,,,,
169,2010-08-26,VPB,,,,,
170,2010-08-27,VPB,,,,,
171,2010-08-30,VPB,,,,,
172,2010-08-31,VPB,,,,,
173,2010-09-01,VPB,,,,,
174,2010-09-02,VPB,,,,,
175,2010-09-03,VPB,,,,,
176,2010-09-06,VPB,,,,,
177,2010-09-07,VPB,,,,,
178,2010-09-08,VPB,,,,,
179,2010-09-09,VPB,,,,,
180,2010-09-10,VPB,,,,,
181,2010-09-13,VPB,,,,,
182,2010-09-14,VPB,,,,,
183,2010-09-15,VPB,,,,,
184,2010-09-16,VPB,,,,,
185,2010-09-17,VPB,,,,,
186,2010-09-20,VPB,,,,,
187,2010-09-21,VPB,,,,,
188,2010-09-22,VPB,,,,,
189,2010-09-23,VPB,,,,,
190,2010-09-24,VPB,,,,,
191,2010-09-27,VPB,,,,,
192,2010-09-28,VPB,,,,,
193,2010-09-29,VPB,,,,,
194,2010-09-30,VPB,,,,,
195,2010-10-01,VPB,,,,,
196,2010-10-04,VPB,,,,,
197,2010-10-05,VPB,,,,,
198,2010-10-06,VPB,,,,,
199,2010-10-07,VPB,,,,,
200,2010-10-08,VPB,,,,,
201,2010-10-11,VPB,,,,,
202,2010-10-12,VPB,,,,,
203,2010-10-13,VPB,,,,,
204,2010-10-14,VPB,,,,,
205,2010-10-15,VPB,,,,,
206,2010-10-18,VPB,,,,,
207,2010-10-19,VPB,,,,,
208,2010-10-20,VPB,,,,,
209,2010-10-21,VPB,,,,,
