,date,ticker,open,high,low,close,volume
0,2010-01-01,VRE,,,,,
1,2010-01-04,VRE,,,,,
2,2010-01-05,VRE,,,,,
3,2010-01-06,VRE,,,,,
4,2010-01-07,VRE,,,,,
5,2010-01-08,VRE,,,,,
6,2010-01-11,VRE,,,,,
7,2010-01-12,VRE,,,,,
8,2010-01-13,VRE,,,,,
9,2010-01-14,VRE,,,,,
10,2010-01-15,VRE,,,,,
11,2010-01-18,VRE,,,,,
12,2010-01-19,VRE,,,,,
13,2010-01-20,VRE,,,,,
14,2010-01-21,VRE,,,,,
15,2010-01-22,VRE,,,,,
16,2010-01-25,VRE,,,,,
17,2010-01-26,VRE,,,,,
18,2010-01-27,VRE,,,,,
19,2010-01-28,VRE,,,,,
20,2010-01-29,VRE,,,,,
21,2010-02-01,VRE,,,,,
22,2010-02-02,VRE,,,,,
23,2010-02-03,VRE,,,,,
24,2010-02-04,VRE,,,,,
25,2010-02-05,VRE,,,,,
26,2010-02-08,VRE,,,,,
27,2010-02-09,VRE,,,,,
28,2010-02-10,VRE,,,,,
29,2010-02-11,VRE,,,,,
30,2010-02-12,VRE,,,,,
31,2010-02-15,VRE,,,,,
32,2010-02-16,VRE,,,,,
33,2010-02-17,VRE,,,,,
34,2010-02-18,VRE,,,,,
35,2010-02-19,VRE,,,,,
36,2010-02-22,VRE,,,,,
37,2010-02-23,VRE,,,,,
38,2010-02-24,VRE,,,,,
39,2010-02-25,VRE,,,,,
40,2010-02-26,VRE,,,,,
41,2010-03-01,VRE,,,,,
42,2010-03-02,VRE,,,,,
43,2010-03-03,VRE,,,,,
44,2010-03-04,VRE,,,,,
45,2010-03-05,VRE,,,,,
46,2010-03-08,VRE,,,,,
47,2010-03-09,VRE,,,,,
48,2010-03-10,VRE,,,,,
49,2010-03-11,VRE,,,,,
50,2010-03-12,VRE,,,,,
51,2010-03-15,VRE,,,,,
52,2010-03-16,VRE,,,,,
53,2010-03-17,VRE,,,,,
54,2010-03-18,VRE,,,,,
55,2010-03-19,VRE,,,,,
56,2010-03-22,VRE,,,,,
57,2010-03-23,VRE,,,,,
58,2010-03-24,VRE,,,,,
59,2010-03-25,VRE,,,,,
60,2010-03-26,VRE,,,,,
61,2010-03-29,VRE,,,,,
62,2010-03-30,VRE,,,,,
63,2010-03-31,VRE,,,,,
64,2010-04-01,VRE,,,,,
65,2010-04-02,VRE,,,,,
66,2010-04-05,VRE,,,,,
67,2010-04-06,VRE,,,,,
68,2010-04-07,VRE,,,,,
69,2010-04-08,VRE,,,,,
70,2010-04-09,VRE,,,,,
71,2010-04-12,VRE,,,,,
72,2010-04-13,VRE,,,,,
73,2010-04-14,VRE,,,,,
74,2010-04-15,VRE,,,,,
75,2010-04-16,VRE,,,,,
76,2010-04-19,VRE,,,,,
77,2010-04-20,VRE,,,,,
78,2010-04-21,VRE,,,,,
79,2010-04-22,VRE,,,,,
80,2010-04-23,VRE,,,,,
81,2010-04-26,VRE,,,,,
82,2010-04-27,VRE,,,,,
83,2010-04-28,VRE,,,,,
84,2010-04-29,VRE,,,,,
85,2010-04-30,VRE,,,,,
86,2010-05-03,VRE,,,,,
87,2010-05-04,VRE,,,,,
88,2010-05-05,VRE,,,,,
89,2010-05-06,VRE,,,,,
