date,Open,Low,High,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2010-01-04,12042.283550826,24000.0,25200.0,25200.0,4943976.0,4943976.0,4943976.0,1.0,0.0,50.0,0.0,0.0,3682317.62876762,1000.0,24800.0,0.0,25200.0,25200.0,25200.0,0.0,0.0,0.0,0.0,24800.0,26000.0,23600.0,9.67741935483871,0.6666666666666666,0.0,0.0,4.761904761904762,1.0,0.0,0.0,0.0,25200.0,25200.0,25200.0,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,73.58233848564912,1.0,0.0,-10750.433386837882,743.9969429287454,743.9969429287454,0.0,24600.0,24600.0,24600.0,24600.0,14516.76665329053,14672.281300160514,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,-0.0,0.0,25200.0,0.0,74.39969429287454,0.0,0.0
2010-01-05,13196.335724447,25900.0,26400.0,26100.0,6404614.0,3663053.2,11348590.0,0.3227760629294036,5764152600.0,100.0,12100651.186785027,12100651.186785027,3907039.244198801,1000.0,25552.47104118955,0.0,25650.0,26550.0,24750.0,7.017543859649122,0.75,0.0,0.0,25466.666666666664,26316.666666666664,24616.666666666664,6.675392670157068,0.8725490196078446,0.0,0.0,9.35672514619883,0.875,71.79487179487478,14.358974358974956,57.435897435899825,25650.0,25650.0,25338.46153846154,25266.666666666664,0.0,0.0,0.0,0.20082953666294162,0.05857528152669131,0.1422542551362503,0.006975446428571428,1.9044368600682593,66.66666666666684,-11200.433386837882,775.1397454810445,759.568344204895,15.571401276149572,25200.0,25200.0,25200.0,25200.0,14516.76665329053,14672.281300160514,8.0,4.0,4.0,-1.0,-1.0,0.0,0.0,100.0,100.0,37.5,87.5,93.75,-12.5,0.0,25711.29066244291,0.0,3.571428571428581,3.509131981127034,3.571428571428581
2010-01-06,13045.807180062,25400.0,26000.0,25500.0,3869565.0,1083343.2000000002,7479025.0,0.07118755197328455,4609025228.571429,62.78944716889294,-6977528.481883623,2561561.3524507023,139780.69704433496,977.0114942528736,25573.032133877812,0.0,25600.0,26348.33147735479,24851.66852264521,5.846339666834297,0.43318468952189404,0.0,0.0,25522.22222222222,26288.888888888887,24755.55555555555,6.007836308228134,0.48550724637681375,0.0,0.0,9.375,0.625,79.36299218350905,27.359777923881776,52.00321425962727,25600.0,25600.0,25363.313609467456,25283.950617283946,0.0,0.0,0.0,0.19762168801276958,0.13438274784868331,0.06323894016408627,0.01365929645904536,2.760165290054115,15.384615384615657,-11150.433386837882,771.6794340863446,763.6053741653782,8.07405992096642,25200.0,25200.0,25200.0,25200.0,14516.76665329053,14672.281300160514,8.0,4.0,4.0,-1.0,25200.0,0.0,1.0,58.208955223880594,98.52941176470587,32.25806451612904,62.5,83.33333333333333,-37.5,0.0,25623.93639324922,0.0,-2.298850574712641,-2.3256862164267034,1.1904761904761862
2010-01-07,12794.926272753,25000.0,25600.0,25000.0,3631685.0,-2548341.8,3847340.0,-0.13519169393480263,3691186981.632654,46.74175407203479,-6608502.6647410225,-495126.6532798726,-160165.02704530087,957.8544061302682,25501.1622821909,0.0,25450.0,26280.662386291806,24619.337613708194,6.527798713491598,0.22913183055701877,0.0,0.0,25441.666666666664,26166.666666666664,24716.666666666664,5.699312151981658,0.1954022988505764,0.0,0.0,9.430255402750491,0.4166666666666667,44.50196978504755,30.788216296114932,13.713753488932618,25450.0,25450.0,25307.419208010924,25262.917238225877,0.0,0.0,0.0,0.20376692000746213,0.20376692000746213,0.0,0.015957884744843352,3.5853793437889836,-36.47798742138333,-11000.433386837882,761.298499902245,763.0286555995949,-1.7301556973499146,25200.0,25200.0,25200.0,25200.0,14516.76665329053,14672.281300160514,8.0,16.0,-8.0,25400.0,25200.0,1.0,0.0,42.33231283050375,96.12644036971186,27.02702702702703,41.666666666666664,63.88888888888889,-58.333333333333336,0.0,25423.081661757093,0.0,-1.9607843137254943,-1.9802627296179764,-0.7936507936507908
2010-01-08,12895.278635676,24800.0,25900.0,24800.0,5380044.0,-7928385.8,-1532704.0,-0.32721517775322406,3010159012.8279896,33.91706111703998,1022296.4719247648,-115770.87197871326,-114249.86180392157,957.8544061302682,25426.89031583202,0.0,25320.0,26226.86272390037,24413.13727609963,7.1632126690392495,0.21329729059569938,0.0,0.0,25386.666666666664,26186.666666666664,24586.666666666664,6.302521008403363,0.13333333333333486,0.0,0.0,9.47867298578199,0.3333333333333333,0.7276420394191518,24.776101444775776,-24.048459405356624,25320.0,25320.0,25229.354714470785,25228.627072431365,0.0,0.0,0.0,0.25086350376720296,0.24389507310700287,0.006968430660200087,0.013640119711041312,4.472821288967018,-36.91275167785185,-10870.433386837882,752.3016902760253,760.883262534881,-8.581572258855772,25200.0,25200.0,25200.0,25200.0,14516.76665329053,14672.281300160514,8.0,20.0,-12.0,25400.0,25600.0,0.0,1.0,37.881487441806996,93.6899799701126,20.833333333333332,33.333333333333336,45.83333333333334,-66.66666666666667,0.0,25242.679140110384,0.0,-0.8000000000000007,-0.8032171697264445,-1.5873015873015928
2010-01-11,12443.69300252,24500.0,25000.0,24700.0,1814108.0,-8291207.399999999,-3346812.0,-0.3183539374455344,2554220468.1382766,31.09022817209089,-16537052.920774287,-3400027.281737828,-50355.303612903226,953.9920899765171,25378.580238390485,0.0,25216.666666666668,26164.764176888526,24268.56915644481,7.519610127337936,0.22752451035032983,0.0,0.0,25277.777777777777,26027.777777777777,24527.777777777777,5.934065934065934,0.11481481481481508,0.0,0.0,9.517514871116987,0.2916666666666667,-41.55398388139656,11.51008437954131,-53.06406826093787,25216.666666666668,25216.666666666668,25147.915527629124,25189.46951151052,0.0,0.0,0.0,0.2558847880741303,0.32995670041137853,-0.07407191233724825,0.007530054629595979,5.3103295809719455,-89.9082568807342,-10767.10005350455,745.1503800603123,758.2611154557862,-13.110735395473966,25200.0,25200.0,25200.0,25200.0,14516.76665329053,14672.281300160514,8.0,24.0,-16.0,25400.0,25600.0,0.0,0.0,35.85177767208711,91.44219963982106,22.641509433962263,29.166666666666668,34.72222222222223,-70.83333333333333,141.66666666666788,25090.185087529877,0.0,-0.40322580645161255,-0.40404095370050186,-1.9841269841269882
2010-01-12,12293.164458135,23600.0,24800.0,23600.0,2739218.0,-11030425.399999999,-6086030.0,-0.38322429638667815,1758883286.9756656,27.706776475964787,-24094467.837171048,-6849100.707643365,-129304.41719994775,953.9920899765171,25247.384593309776,0.0,24985.714285714286,26417.710181273334,23553.718390155238,11.462517174286264,0.01615982629150405,0.0,0.0,25095.238095238095,25909.52380952381,24280.952380952378,6.489563567362438,-0.41812865497075774,0.0,1.0,11.206403659233848,0.0,-161.9563519517651,-23.183202886719975,-138.77314906504512,24985.714285714286,24985.714285714286,24909.774677224643,25071.731029176408,0.0,0.0,0.0,0.2554448157993163,0.39251276574041294,-0.1370679499410966,-0.009392168299153453,6.234453944297433,-145.83333333333337,-10536.147672552168,729.1670369514603,754.1048185265969,-24.93778157513657,25000.0,25000.0,25000.0,25000.0,14516.76665329053,14672.281300160514,8.0,28.000000000000004,-20.000000000000004,25400.0,25900.0,0.0,0.0,21.931407355826508,86.86102497966718,18.46153846153846,0.0,20.83333333333334,-100.0,-90.0,24818.58096452765,0.0,-4.453441295546556,-4.5556531602366945,-6.349206349206349
2010-01-13,11841.578824979,23400.0,24100.0,23900.0,2952289.0,-9765158.685714284,-3133741.0,-0.3077045892901915,1634140917.4077134,24.8198649629402,-10669687.147836814,-7394898.770528143,-84460.36812941742,953.9920899765171,25112.73734501543,0.0,24850.0,26369.86841535707,23330.13158464293,12.232341371083045,0.18747294489411015,0.0,0.0,24933.333333333332,25733.333333333332,24133.333333333332,6.417112299465241,-0.14583333333333257,0.0,1.0,12.072434607645874,0.16666666666666666,-230.51141124391143,-64.64884455815827,-165.86256668575317,24850.0,24850.0,24754.42472688239,24984.9361381263,0.0,0.0,0.0,0.2746197602036123,0.4596895986016988,-0.1850698383980865,-0.03049191098683132,7.136194970392378,-125.9259259259258,-10400.433386837882,719.7747631658463,749.8135616065031,-30.03879844065682,24900.0,24900.0,24900.0,24900.0,14516.76665329053,14672.281300160514,8.0,28.000000000000004,-20.000000000000004,25400.0,25762.0,0.0,0.0,29.922925836431588,83.16623911650292,26.309523809523814,16.666666666666668,15.277777777777784,-83.33333333333333,-305.0,24637.29103191762,0.0,1.2711864406779627,1.2631746905901409,-5.158730158730163
2010-01-14,12042.283550826,23700.0,24100.0,23800.0,1578615.0,-10554466.185714284,-4712356.0,-0.31681665571878287,1378140572.0637543,28.79793329096131,3800800.0684144013,-5995436.415660325,30924.01377561875,950.0004912736865,25053.691324343785,0.0,24733.333333333332,26310.954608826563,23155.7120578401,12.757045354392707,0.20419601084501962,0.0,0.0,24814.814814814814,25570.37037037037,24059.259259259255,6.089552238805979,-0.17156862745097767,0.0,1.0,12.129380053908356,0.13333333333333333,-289.57293734182167,-109.63366311489096,-179.9392742269307,24733.333333333332,24733.333333333332,24607.590153515866,24897.163090857688,0.0,0.0,0.0,0.30903009157001776,0.4722912720221026,-0.16326118045208482,-0.054213166620429944,7.972858115575689,-98.96907216494827,-10283.766720171214,711.7007032448798,745.5787995663227,-33.878096321442854,24900.0,24900.0,24900.0,24900.0,14516.76665329053,14672.281300160514,8.0,28.000000000000004,-20.000000000000004,25400.0,25573.04,0.0,0.0,28.862335049182235,79.86353074519299,20.040485829959515,13.333333333333334,10.000000000000005,-86.66666666666667,-465.55555555555475,24511.828067717684,0.0,-0.4184100418409997,-0.4192878260036892,-5.555555555555558
2010-01-15,11941.931187903,23600.0,24000.0,23800.0,1960700.0,-10554466.185714284,-2751656.0,-0.2992068557955907,1181263347.4832182,27.02667510271243,-2040087.7237721223,-5555953.227672747,-6605.083682008368,950.0004912736865,24984.006688171336,800.0,24640.0,26237.998748435053,23042.001251564947,12.970769061972835,0.2371712584810764,0.0,0.0,24713.333333333332,25433.333333333332,23993.333333333332,5.826814135419476,-0.1342592592592584,0.0,1.0,12.175324675324676,0.13333333333333333,-332.5462362807302,-154.21617774805884,-178.3300585326714,24640.0,24640.0,24483.345514513425,24815.891750794155,0.0,0.0,0.0,0.31908043958616855,0.4900163893644731,-0.17093594977830456,-0.0785892275103299,8.766886054528717,-89.89501312335948,-10190.433386837882,705.2414553081065,741.2726342751406,-36.031178967034066,24900.0,24900.0,24900.0,24900.0,14516.76665329053,14672.281300160514,8.0,28.000000000000004,-20.000000000000004,25400.0,25399.1968,0.0,0.0,28.862335049182235,77.09868783482183,22.37609329446064,13.333333333333334,14.44444444444445,-86.66666666666667,-670.0,24405.164964958738,0.0,0.0,0.0,-5.555555555555558
