date,Open,Low,High,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2010-01-04,22274.399745461,35000.0,35900.0,35900.0,274274.0,274274.0,274274.0,1.0,0.0,50.0,0.0,0.0,-151505.9632785745,1000.0,35600.0,0.0,35900.0,35900.0,35900.0,0.0,0.0,0.0,0.0,35600.0,36500.0,34700.0,5.056179775280898,0.6666666666666666,0.0,0.0,2.5069637883008355,1.0,0.0,0.0,0.0,35900.0,35900.0,35900.0,35900.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.28076838557331,1.0,0.0,44588.42295345104,-553.9731220630067,-553.9731220630067,0.0,35450.0,35450.0,35450.0,35450.0,80656.00922953451,81060.69422150883,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,-0.0,0.0,35900.0,0.0,-55.39731220630066,0.0,0.0
2010-01-05,23929.069440838,37400.0,37600.0,37600.0,465344.0,739618.0,739618.0,1.0,791084800.0,100.0,88106862.87993398,88106862.87993398,-129904.63577987342,1000.0,36816.39152463389,0.0,36750.0,38450.0,35050.0,9.251700680272108,0.75,0.0,0.0,36566.66666666667,37116.66666666667,36016.66666666667,3.0082041932543295,1.439393939393935,1.0,0.0,7.07482993197279,1.0,135.61253561253397,27.122507122506796,108.49002849002719,36750.0,36750.0,36161.53846153846,36025.92592592593,0.0,0.0,0.0,0.05509826006613459,0.03178745773046226,0.02331080233567233,0.009248781337047353,1.8715596330275228,66.66666666666642,43738.42295345104,-543.4125970979247,-548.6928595804657,5.280262482540934,36300.0,36300.0,36300.0,36300.0,80656.00922953451,81060.69422150883,8.0,4.0,4.0,-1.0,-1.0,0.0,0.0,100.0,100.0,65.38461538461539,100.0,100.0,-0.0,0.0,36415.29197093198,0.0,4.73537604456824,4.6266754901616025,4.73537604456824
2010-01-06,23229.016877409,36500.0,39000.0,39000.0,271769.0,1011387.0,1011387.0,1.0,732426485.7142857,100.0,229974721.17864802,159040792.029291,32154.84681147395,1037.2340425531913,37179.22288896338,0.0,37500.0,40035.087112244204,34964.912887755796,13.520464598635753,0.7958478217089973,0.0,0.0,37100.0,38300.0,35900.0,6.46900269541779,1.2916666666666667,1.0,0.0,10.666666666666668,1.0,351.99714288033283,92.09743427407201,259.8997086062608,37500.0,37500.0,36598.224852071005,36246.22770919067,0.0,0.0,0.0,0.08452673178890446,0.052326072059798,0.03220065972910646,0.03189174486604107,3.0769556295462346,71.11111111111094,42988.42295345104,-534.0944868346171,-543.8267353318495,9.732248497232376,37000.0,37000.0,37000.0,37000.0,80656.00922953451,81060.69422150883,12.0,4.0,8.0,-1.0,35900.0,0.0,1.0,100.0,100.0,82.3529411764706,100.0,100.0,-0.0,0.0,36988.76229884137,0.0,3.7234042553191404,3.6557595733798465,8.635097493036215
2010-01-07,24820.045430657,38000.0,39000.0,38000.0,79199.0,932188.0,932188.0,0.8547588177365196,616479987.7551022,100.0,946981653.8087603,421687745.95578074,8088.314920894707,1010.6382978723402,37263.03507166483,0.0,37625.0,39862.74440006002,35387.25559993998,11.894986844172879,0.5837897304066411,0.0,0.0,37408.333333333336,38558.333333333336,36258.333333333336,6.148362664290487,0.7572463768115931,0.0,0.0,10.631229235880399,0.75,437.74579936786176,161.22710729283,276.51869207503177,37625.0,37625.0,36813.88256713701,36376.136767769145,0.0,0.0,0.0,0.13218008392474245,0.07102213464613027,0.06115794927861218,0.05701636021151965,4.217365438078314,68.20276497695858,42863.42295345104,-532.5414684573991,-541.0054186132369,8.463950155837779,37000.0,37000.0,37000.0,37000.0,80656.00922953451,81060.69422150883,12.0,4.0,8.0,36500.0,35900.0,1.0,0.0,73.44533261075735,98.69677918283759,68.85245901639345,75.0,91.66666666666667,-25.0,0.0,37147.392295122634,0.0,-2.564102564102566,-2.5975486403261527,5.84958217270195
2010-01-08,23865.428298708,36600.0,38400.0,36600.0,156719.0,775469.0,775469.0,0.6217156188742929,497067618.0758019,84.11646330224795,-1148552504.8015876,29127683.266438663,-7804.601484480431,1010.6382978723402,37255.114961189654,0.0,37420.0,39582.96093353532,35257.03906646468,11.560453947275914,0.310445027627077,0.0,0.0,37366.66666666667,38646.66666666667,36086.66666666667,6.851025869759144,0.20052083333333143,0.0,0.0,10.689470871191876,0.4,388.2583273923665,206.63335131273732,181.62497607962916,37420.0,37420.0,36780.97755680824,36392.719229415874,0.0,0.0,0.0,0.13526792386764186,0.11431092157828888,0.020957002289352974,0.07497710029721633,5.4368079423643,-14.367816091954452,43068.42295345104,-535.0884185960364,-539.8220186097967,4.733600013760338,37000.0,37000.0,37000.0,37000.0,80656.00922953451,81060.69422150883,12.0,4.0,8.0,36500.0,35900.0,0.0,0.0,52.4473650916506,95.82759077961475,53.16455696202531,40.0,71.66666666666667,-60.0,0.0,37022.59112987436,0.0,-3.68421052631579,-3.7537919319065693,1.949860724233976
2010-01-11,22592.60545611,35000.0,36500.0,35300.0,98804.0,716186.6,676665.0,0.5320420560296379,407708644.0649731,76.76041676529522,-2656775029.3510385,-508052859.25705683,-9283.289588725913,974.7413091500986,37133.63001559804,0.0,37066.666666666664,39595.61023178542,34537.72310154791,13.645378948482477,0.15071053956403602,0.0,0.0,37072.222222222226,38388.88888888889,35755.555555555555,7.103251910684855,-0.17299578059071682,0.0,1.0,10.79136690647482,0.075,241.35779148685833,213.57823934756152,27.77955213929681,37066.666666666664,37066.666666666664,36553.13485576082,36311.77706427396,0.0,0.0,0.0,0.13311536197304888,0.1737895003537027,-0.04067413838065381,0.08015030243211595,6.644038744013958,-100.00000000000037,43421.75628678437,-539.4782838756391,-539.7647294874372,0.28644561179805805,37000.0,37000.0,37000.0,37000.0,80656.00922953451,81060.69422150883,12.0,24.0,-12.0,36500.0,39000.0,0.0,1.0,40.78652660821252,91.84116146720991,47.368421052631575,7.5,40.833333333333336,-92.5,325.0,36569.554377421286,0.0,-3.551912568306015,-3.616527646806844,-1.671309192200554
2010-01-12,22465.323171851,33600.0,35300.0,33600.0,75869.0,640317.6,600796.0,0.45030063756260647,331039223.48426265,72.11292106116504,-2912915683.6125426,-908863329.9829712,-7163.179569343178,927.7990931287057,36975.329013529044,0.0,36571.42857142857,39943.099264913646,33199.7578779435,18.438824104996495,0.05935367929464031,0.0,0.0,36657.142857142855,38028.57142857143,35285.71428571428,7.482462977396732,-0.6145833333333317,0.0,1.0,14.765624999999998,0.0,-12.098272729555902,168.44293693213805,-180.54120966169396,36571.42857142857,36571.42857142857,36098.806416413005,36110.90468914256,0.0,0.0,0.0,0.13443649422135268,0.2204758505230184,-0.08603935630166573,0.0671700564427451,7.860195852259954,-126.19786280592892,43916.994382022465,-545.6311947796644,-540.6027959577553,-5.028398821909036,36300.0,36300.0,36300.0,36300.0,80656.00922953451,81060.69422150883,12.0,28.000000000000004,-16.000000000000004,36500.0,38920.0,0.0,0.0,31.061022766389655,86.4741772679018,40.17857142857143,0.0,15.833333333333334,-100.0,90.0,35675.44157262124,0.0,-4.815864022662886,-4.935689697009238,-6.406685236768805
2010-01-13,21192.500329253,33300.0,35000.0,34000.0,115664.0,619906.3058823529,716460.0,0.40315385888415695,290357277.27222514,66.03004609885811,-440932355.7891825,-842016047.9552871,-2276.7954944017265,927.7990931287057,36759.041961652976,0.0,36250.0,39833.294573433785,32666.705426566215,19.76990109480709,0.18604311564540457,0.0,0.0,36337.5,37750.0,34925.0,7.774337805297557,-0.3274336283185841,0.0,1.0,15.724137931034482,0.12280701754385964,-178.6282572554701,99.02869809461643,-277.6569553500865,36250.0,36250.0,35775.91312158023,35954.541378835704,0.0,0.0,0.0,0.15481377889260278,0.24874573462519325,-0.09393195573259047,0.04466525753710704,9.06907770997983,-101.41643059490082,44238.42295345104,-549.6246706067963,-541.7305302888855,-7.8941403179107965,36150.0,36150.0,36150.0,36150.0,80656.00922953451,81060.69422150883,12.0,28.000000000000004,-16.000000000000004,36500.0,38707.2,0.0,0.0,34.98907697863969,82.18221722228164,42.03765227021041,12.280701754385966,6.593567251461988,-87.71929824561404,-311.25,35201.343661160594,0.0,1.1904761904761862,1.1834457647003305,-5.292479108635096
2010-01-14,21637.988324162,34000.0,35500.0,34900.0,145349.0,648976.1058823529,861809.0,0.3856087797750273,267565394.80476442,69.34609078345485,619199306.4967767,-659364128.6487792,5224.425910364145,927.7990931287057,36589.85223331557,0.0,36100.0,39583.293460696834,32616.706539303166,19.298024713001848,0.32774922447103555,0.0,0.0,36166.666666666664,37588.88888888889,34744.444444444445,7.864823348694319,0.0546874999999997,0.0,0.0,15.789473684210526,0.2807017543859649,-235.26994590391405,32.16896929491033,-267.43891519882436,36100.0,36100.0,35641.15725672174,35876.42720262565,0.0,0.0,0.0,0.18817251664380374,0.2593729283468646,-0.07120041170306085,0.021555189862866742,10.23775659382066,-62.43654822335013,44388.42295345104,-551.4882926594579,-542.8147261078379,-8.673566551619956,36150.0,36150.0,36150.0,36150.0,80656.00922953451,81060.69422150883,12.0,28.000000000000004,-16.000000000000004,36500.0,38382.768,0.0,0.0,42.87585394429259,78.7973465393248,39.46226795803067,28.07017543859649,13.450292397660817,-71.9298245614035,-880.0,35124.72326917708,0.0,2.6470588235294024,2.612630459221954,-2.785515320334264
2010-01-15,22528.964313981,34900.0,35400.0,35000.0,105119.0,585904.7058823529,966928.0,0.3276670371970141,230843466.9755124,71.38376589879745,190260561.83943912,-564961385.2611994,4148.6741024776675,930.4575432522837,36502.26714240175,1490.0,35990.0,39359.80711614181,32620.192883858188,18.726352409790564,0.3531073195172252,0.0,0.0,36060.0,37390.0,34730.0,7.376594564614532,0.10150375939849623,0.0,0.0,15.83773270352876,0.2982456140350877,-268.9889903332805,-28.062622630727837,-240.92636770255268,35990.0,35990.0,35542.51767876455,35811.50666909783,0.0,0.0,0.0,0.21012491808332348,0.2672788958019875,-0.05715397771866401,-0.00047176420430636366,11.25029987988324,-45.757864632983775,44498.42295345104,-552.8549488314096,-542.6904846376606,-10.16446419374904,36150.0,36150.0,36150.0,36150.0,80656.00922953451,81060.69422150883,12.0,28.000000000000004,-16.000000000000004,36500.0,38077.80192,0.0,0.0,43.693219063722836,76.02903847430268,29.494981118046457,29.82456140350877,23.391812865497073,-70.17543859649123,-1245.0,35094.90140196027,0.0,0.2865329512893977,0.28612322810310786,-2.506963788300831
