date,Open,Low,High,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2016-09-01,6363.634454545,8400.0,12600.0,12600.0,201960.0,201960.0,201960.0,1.0,0.0,50.0,0.0,0.0,-178805.7176795375,1000.0,11200.0,0.0,12600.0,12600.0,12600.0,0.0,0.0,0.0,0.0,11200.0,15400.0,7000.0,75.0,0.6666666666666666,0.0,0.0,33.33333333333333,1.0,0.0,0.0,0.0,12600.0,12600.0,12600.0,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.06626782059993,1.0,0.0,66747.72182254196,-841.2052707930368,-841.2052707930368,0.0,10500.0,10500.0,10500.0,10500.0,79423.27637889689,80831.50479616306,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,-0.0,0.0,12600.0,0.0,-84.12052707930367,0.0,0.0
2016-09-05,10151.51210606,13400.0,13400.0,13400.0,450120.0,201960.0,652080.0,0.3097165991902834,360096000.0,100.0,0.0,0.0,-141310.76887031406,1000.0,12718.623481781377,0.0,13000.0,13800.0,12200.0,12.307692307692308,0.75,0.0,0.0,12300.0,14400.0,10200.0,34.146341463414636,0.7619047619047619,0.0,0.0,38.46153846153847,1.0,63.81766381766283,12.763532763532567,51.054131054130266,13000.0,13000.0,12723.076923076922,12659.25925925926,0.0,0.0,0.0,0.06968862387528912,0.01115017982004626,0.05853844405524286,0.01240079365079365,1.8333333333333335,66.66666666666667,66347.72182254196,-836.1641682785299,-838.6847195357834,2.520551257253487,10900.0,10900.0,10900.0,10900.0,79423.27637889689,80831.50479616306,8.0,4.0,4.0,-1.0,-1.0,0.0,0.0,100.0,100.0,15.999999999999998,100.0,100.0,-0.0,0.0,13737.034260875713,0.0,6.349206349206349,6.155789299943315,6.349206349206349
2016-09-06,10833.330083333,14200.0,14300.0,14300.0,1142988.0,1344948.0,1795068.0,0.7492462681079491,455609314.2857143,100.0,7436648.5037463205,3718324.2518731602,105346.89836531627,1000.0,13704.321396181092,0.0,13433.333333333334,14822.177777066645,12044.488889600023,20.677584770222992,0.8120099844792572,0.0,0.0,12955.555555555555,14388.888888888889,11522.22222222222,22.126929674099497,0.9689922480620156,0.0,0.0,43.920595533498755,1.0,184.88486294753966,47.18779880033399,137.69706414720568,13433.333333333334,13433.333333333334,12965.68047337278,12780.79561042524,0.0,0.0,0.0,0.08121383371679634,0.022024090499470194,0.059189743217326146,0.04649721016738996,2.5521696043038156,74.68354430379748,65914.38848920864,-830.7029738878143,-836.024137653127,5.32116376531269,11350.0,11350.0,11350.0,11350.0,79423.27637889689,80831.50479616306,12.0,4.0,8.0,8400.0,-1.0,1.0,0.0,100.0,100.0,28.8135593220339,100.0,100.0,-0.0,0.0,14233.958802552976,0.0,6.7164179104477695,6.500483030899673,13.492063492063489
2016-09-07,11590.905613636,15300.0,15300.0,15300.0,972444.0,1344948.0,2767512.0,0.4859772965754078,529442840.8163266,100.0,0.0,2478882.8345821067,144770.92766934558,1069.93006993007,14265.00842634106,0.0,13900.0,15914.944167960988,11885.055832039012,28.992002416704864,0.8474041668898257,0.0,0.0,13541.666666666666,14616.666666666666,12466.666666666666,15.876923076923077,1.3178294573643414,1.0,0.0,49.64028776978417,1.0,357.4032114060192,109.23088132147103,248.17233008454815,13900.0,13900.0,13324.806554392353,12967.403342986334,0.0,0.0,0.0,0.09504706767260046,0.03530319656410874,0.05974387110849172,0.10902401239349341,3.1806508519829837,94.40715883668909,65447.721822541964,-824.8216876208896,-833.2235251450677,8.401837524178063,11850.0,11850.0,11850.0,11850.0,79423.27637889689,80831.50479616306,16.0,4.0,12.0,8636.0,-1.0,0.0,0.0,100.0,100.0,39.130434782608695,100.0,100.0,-0.0,0.0,14811.166409391044,0.0,6.9930069930070005,6.759329113252832,21.42857142857142
2016-09-08,12348.481143939,16300.0,16300.0,16300.0,2025289.0,1344948.0,4792801.0,0.28061836909147697,743135149.2711371,100.0,0.0,1859162.1259365801,200374.9069884364,1069.93006993007,15124.93272722986,0.0,14380.0,17013.324894501246,11746.675105498754,36.62482468012859,0.8645581302955119,0.0,0.0,14093.333333333332,14953.333333333332,13233.333333333332,12.204351939451278,1.7829457364341093,1.0,0.0,54.93741307371349,1.0,568.2662683303988,201.0379587232566,367.22830960714225,14380.0,14380.0,13782.528622947375,13214.262354616976,0.0,0.0,0.0,0.10717004892685388,0.048226522017084245,0.05894352690976963,0.20301259471180721,3.7389553217174387,102.54027261462211,64967.721822541964,-818.7723646034815,-830.3332930367505,11.560928433269055,12350.0,12350.0,12350.0,12350.0,79423.27637889689,80831.50479616306,20.0,4.0,16.0,9035.84,-1.0,0.0,0.0,100.0,100.0,46.835443037974684,100.0,100.0,-0.0,0.0,15325.59541535215,0.0,6.5359477124183,6.331227941432616,29.36507936507937
2016-09-09,13181.814227272,17400.0,17400.0,17400.0,1705849.0,1344948.0,6498650.0,0.2069580605202619,905034970.8038319,100.0,0.0,1487329.700749264,247490.47423713864,1142.1339396799522,15722.121563709386,0.0,14883.333333333334,18176.592441808636,11590.07422485803,44.25432172643185,0.8820936318357017,0.0,0.0,14644.444444444443,15361.11111111111,13927.777777777776,9.787556904400612,2.422480620155039,1.0,0.0,60.47032474804032,1.0,814.7456859397516,323.7795041665556,490.966181773196,14883.333333333334,14883.333333333334,14339.06268095547,13524.316995015719,0.0,0.0,0.0,0.12013562627426647,0.06204807071308268,0.058087555561183786,0.33021946864216595,4.2411808410052725,108.77192982456145,64464.38848920863,-812.4289772727271,-827.3492404094133,14.920263136686117,12900.0,12900.0,12900.0,12900.0,79423.27637889689,80831.50479616306,24.0,4.0,20.0,9616.9728,-1.0,0.0,0.0,100.0,100.0,53.33333333333333,100.0,100.0,-0.0,805.0,15696.130198891104,0.0,6.748466257668717,6.530509840776766,38.095238095238095
2016-09-12,14090.904863636,18600.0,18600.0,18600.0,1340922.0,1344948.0,7839572.0,0.1715588555089487,1005616603.5461416,100.0,0.0,1239441.4172910533,207596.02348212397,1220.9017975889142,16214.369164541125,0.0,15414.285714285714,19422.03331316548,11406.538115405947,52.000432237550264,0.8974444756207636,0.0,0.0,15209.523809523807,15823.809523809523,14595.238095238094,8.077645585472768,3.2596899224806193,1.0,0.0,66.17238183503244,1.0,1094.2979853665693,477.8832004065584,616.4147849600108,15414.285714285714,15414.285714285714,14994.591499270013,13900.293513903443,0.0,0.0,0.0,0.13385711436335984,0.07667543444114787,0.05718167992221197,0.49119682936919806,4.697564823747621,116.9953051643193,63933.436108256254,-805.7375138159712,-824.2618508960644,18.524337080093233,13500.0,13500.0,13500.0,13500.0,79423.27637889689,80831.50479616306,28.000000000000004,4.0,24.000000000000004,10395.27552,-1.0,0.0,0.0,100.0,100.0,58.8235294117647,100.0,100.0,-0.0,1262.8571428571431,15843.010600792339,0.0,6.896551724137923,6.669137449867257,47.61904761904763
2016-09-13,15075.75305303,19800.0,19900.0,19900.0,1570496.0,2915444.0,9410068.0,0.3098217781210508,1153620631.6109786,100.0,7959268.918863849,2199416.7746585957,202243.22877271043,1220.9017975889142,16823.920404542598,0.0,15975.0,20755.951788085717,11194.048211914285,59.85542144708251,0.9104831186314433,0.0,0.0,15791.666666666666,16341.666666666666,15241.666666666666,6.965699208443272,4.234848484848485,1.0,0.0,71.98748043818466,1.0,1404.5535135742903,663.2172630401049,741.3362505341854,15975.0,15975.0,15749.26973015155,14344.71621657726,0.0,0.0,0.0,0.14824712758165207,0.09073746601980429,0.05750966156184778,0.6853398187549639,5.124397168767979,120.74074074074079,63372.721822541964,-798.6709683268858,-821.0629905749171,22.392022248031253,14150.0,14150.0,14150.0,14150.0,79423.27637889689,80831.50479616306,32.0,4.0,28.0,11379.8424576,-1.0,0.0,0.0,100.0,100.0,84.34782608695652,100.0,100.0,-0.0,1790.0,15861.236068386652,0.0,6.989247311827951,6.755815101129059,57.93650793650793
2016-09-14,16098.480018939,21200.0,21250.0,21250.0,1089845.0,4005289.0,10499913.0,0.3814592559005013,1199002077.0951245,100.0,6308236.492345241,2713019.2393694264,183700.05800507916,1303.72679390776,17281.59816181334,0.0,16561.11111111111,22156.700202882468,10965.52201933975,67.5750443823445,0.9189808089897251,0.0,0.0,16396.296296296296,16890.74074074074,15901.85185185185,6.031172351479568,5.408239700374525,1.0,0.0,77.59141227775915,1.0,1739.3172064598293,878.4372517240497,860.8799547357796,16561.11111111111,16561.11111111111,16595.53592551285,14856.21871905302,0.0,0.0,0.0,0.16394941590280865,0.1055306585121527,0.058418757390655954,0.91017032572634,5.522644362937978,126.02122869089736,62786.610711430854,-791.2843528368794,-817.7542530484684,26.469900211588993,14825.0,14825.0,14825.0,14825.0,79423.27637889689,80831.50479616306,36.0,4.0,32.0,12572.664513536,-1.0,0.0,0.0,100.0,100.0,85.99221789883269,100.0,100.0,-0.0,2361.1111111111113,16043.76559982677,0.0,6.78391959798994,6.563716363997862,68.65079365079364
2016-09-15,17196.964537878,21900.0,22700.0,22700.0,2146597.0,6151886.0,12646510.0,0.4864493049861187,1472368301.795821,100.0,40063411.99582409,6863062.8789755,220407.8861897724,1303.72679390776,18156.044887746368,1430.0,17175.0,23636.15314785217,10713.846852147832,75.2390468454401,0.9275552578285994,0.0,0.0,17000.0,17525.0,16475.0,6.176470588235294,5.928571428571429,1.0,0.0,83.26055312954877,1.0,2097.4446899859977,1122.2387393764393,975.2059506095584,17175.0,17175.0,17534.68424466472,15437.239554678723,0.0,0.0,0.0,0.1795238616559507,0.11166260810902776,0.06786125354692293,1.162476911702883,5.982541618208417,124.6177370030581,62172.721822541964,-783.5476607833655,-811.3478519362827,27.80019115291725,18050.0,15550.0,16800.0,15550.0,79423.27637889689,80831.50479616306,40.0,4.0,36.0,13961.03819137024,-1.0,0.0,0.0,100.0,100.0,87.4125874125874,100.0,100.0,-0.0,2962.5,16581.46180524404,0.0,6.823529411764695,6.6008029116931155,80.15873015873017
