date,Open,Low,High,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2010-01-04,11164.034768154,75000.0,78500.0,78500.0,2438104.0,2438104.0,2438104.0,1.0,0.0,50.0,0.0,0.0,-895222.3530230742,1000.0,77333.33333333333,0.0,78500.0,78500.0,78500.0,0.0,0.0,0.0,0.0,77333.33333333333,80833.33333333333,73833.33333333333,9.051724137931034,0.6666666666666674,0.0,0.0,4.45859872611465,1.0,0.0,0.0,0.0,78500.0,78500.0,78500.0,78500.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.56961121770987,1.0,0.0,45603.73194221509,-367.46463001974024,-367.46463001974024,0.0,76750.0,76750.0,76750.0,76750.0,124111.27608346709,124143.53932584269,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,-0.0,0.0,78500.0,0.0,-36.74646300197403,0.0,0.0
2010-01-05,12206.011346515,81000.0,82000.0,82000.0,3680927.0,6119031.0,6119031.0,1.0,12883244500.0,100.0,129043580.59803958,129043580.59803958,-731799.2199784387,1000.0,79940.06692671873,0.0,80250.0,83750.0,76750.0,8.722741433021806,0.75,0.0,0.0,79500.0,81750.0,77250.0,5.660377358490567,1.0555555555555556,1.0,0.0,8.722741433021806,1.0,279.20227920227626,55.840455840455256,223.361823361821,80250.0,80250.0,79038.46153846153,78759.25925925926,0.0,0.0,0.0,0.1330704066336864,0.04752514522631657,0.08554526140736984,0.008708200636942675,1.8823529411764706,66.66666666666667,43853.73194221509,-353.36352304565804,-360.41407653269914,7.0505534870411,78500.0,78500.0,78500.0,78500.0,124111.27608346709,124143.53932584269,8.0,4.0,4.0,-1.0,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,79808.89125433024,0.0,4.458598726114649,4.3620622475891935,4.458598726114649
2010-01-06,11908.303752698,80000.0,83000.0,82500.0,1494019.0,7115043.666666667,7613050.0,0.9345851750174591,11149496642.857143,100.0,0.0,64521790.29901979,173227.63628242968,1006.0975609756098,80311.60999862078,0.0,81000.0,84559.02608401043,77440.97391598957,8.787718725951683,0.7107318076058815,0.0,0.0,80277.77777777777,82777.77777777777,77777.77777777777,6.228373702422147,0.9444444444444468,0.0,0.0,9.876543209876543,0.9375,534.6547511789686,151.60331490815793,383.05143627081065,81000.0,81000.0,79571.00591715975,79036.35116598078,0.0,0.0,0.0,0.16185963937372125,0.08092981968686062,0.08092981968686062,0.024100956574740953,2.785967399007796,52.83018867924536,43103.73194221509,-347.32019148533703,-356.0494481835785,8.729256698241443,79000.0,79000.0,79000.0,79000.0,124111.27608346709,124143.53932584269,12.0,4.0,8.0,-1.0,78500.0,0.0,1.0,100.0,100.0,59.99999999999999,93.75,97.91666666666667,-6.25,0.0,80784.64764540672,0.0,0.6097560975609762,0.6079046076381545,5.095541401273884
2010-01-07,12206.011346515,80000.0,82500.0,80000.0,771270.0,6343773.666666667,6841780.0,0.7566235146877346,9281257836.734695,87.15116721392454,-81035175.74908917,16002801.616316805,-14261.94623059867,975.609756097561,80359.60310436625,0.0,80750.0,83951.56211871642,77548.43788128358,7.929565619111879,0.38286967858354537,0.0,0.0,80416.66666666666,82916.66666666666,77916.66666666666,6.217616580310882,0.41666666666666863,0.0,0.0,9.907120743034056,0.625,529.2724457341683,227.13714107336,302.1353046608083,80750.0,80750.0,79637.00500682749,79107.73256109332,0.0,0.0,0.0,0.19792188239194167,0.1290794885164837,0.06884239387545796,0.037036576436809306,3.682135507784063,18.01801801801817,43353.73194221509,-349.3346353387774,-354.3707449723782,5.036109633600802,79000.0,79000.0,79000.0,79000.0,124111.27608346709,124143.53932584269,12.0,4.0,8.0,80000.0,78500.0,1.0,0.0,58.208955223880594,98.39825392075755,48.0,62.5,85.41666666666667,-37.5,0.0,80521.86311701506,0.0,-3.0303030303030276,-3.0771658666754576,1.9108280254777066
2010-01-08,11908.303752698,77500.0,81500.0,77500.0,1825510.0,4518263.666666667,5016270.0,0.44254053854634867,7303396002.915453,67.21551717153454,-383454486.69139034,-83861520.46060997,-80419.00568181818,975.609756097561,80086.70720602921,0.0,80100.0,83967.81592116275,76232.18407883725,9.65746796794694,0.16389300150323813,0.0,0.0,80099.99999999999,82899.99999999999,77299.99999999999,6.9912609238451955,0.035714285714288314,0.0,0.0,9.987515605493133,0.3125,319.59374550549546,245.6284619597871,73.96528354570836,80100.0,80100.0,79308.2350057771,78988.6412602716,0.0,0.0,0.0,0.20932719489540424,0.2012761489378887,0.008051045957515546,0.04147590308789337,4.653251045632668,-52.34159779614273,44003.73194221509,-354.5721893577222,-354.411033849447,-0.16115550827521474,79000.0,79000.0,79000.0,79000.0,124111.27608346709,124143.53932584269,12.0,20.0,-8.0,80000.0,82500.0,0.0,1.0,40.142517814726844,95.49522491493015,36.36363636363636,31.25,62.5,-68.75,0.0,79466.10670744437,0.0,-3.125,-3.1748698314579826,-1.273885350318471
2010-01-11,11461.742361972,76500.0,78000.0,76500.0,1263725.0,3254538.666666667,3752545.0,0.28365564697834866,6079521573.927532,58.211879482129554,-267067597.776415,-120502735.92377098,-73353.31653225806,963.021243115657,79746.72983511504,0.0,79500.0,83934.71156521668,75065.28843478332,11.15650708230612,0.16175928739872647,0.0,0.0,79583.33333333333,82166.66666666666,76999.99999999999,6.492146596858646,-0.0967741935483842,0.0,1.0,10.062893081761008,0.1875,71.90138782770373,210.88304713337044,-138.9816593056667,79500.0,79500.0,78876.19885104215,78804.29746321445,0.0,0.0,0.0,0.21225169636688843,0.2751410878830035,-0.06288939151611508,0.037471383370917676,5.5467016310409205,-92.5373134328356,44603.73194221509,-359.406854605979,-355.2436706422023,-4.163183963776703,79000.0,79000.0,79000.0,79000.0,124111.27608346709,124143.53932584269,12.0,24.0,-12.0,80000.0,82500.0,0.0,0.0,35.40845161221003,92.48733892261114,33.333333333333336,18.75,37.5,-81.25,575.0,78450.59544489102,0.0,-1.2903225806451646,-1.298719552681149,-2.547770700636942
2010-01-12,11164.034768154,74000.0,76000.0,74000.0,1689648.0,1564890.666666667,2062897.0,0.11888372964138492,4607572777.652171,49.598109187254394,-266327661.14599016,-144806890.12747416,-71523.38393421886,963.021243115657,79094.6454926915,0.0,78714.28571428571,84342.2044581692,73086.36697040222,14.299612053424482,0.08116970688238281,0.0,0.0,78880.95238095238,81380.95238095238,76380.95238095238,6.338665861756716,-0.47619047619047633,0.0,1.0,11.433756805807622,0.0,-322.40916463010944,104.22460478067447,-426.6337694107839,78714.28571428571,78714.28571428571,78126.01441242029,78448.4235770504,0.0,0.0,0.0,0.21178834520626114,0.3252463872810439,-0.11345804207478274,0.021707697923300275,6.416670802036317,-127.86377708978314,45389.44622792938,-365.7379638596486,-356.74285538755174,-8.995108472096831,78500.0,78500.0,78500.0,78500.0,124111.27608346709,124143.53932584269,12.0,28.000000000000004,-16.000000000000004,80000.0,82260.0,0.0,0.0,26.87532581427692,88.41364095868583,29.268292682926823,0.0,16.666666666666668,-100.0,-64.28571428571013,76967.63864102696,0.0,-3.26797385620915,-3.3225647628320587,-5.73248407643312
2010-01-13,10866.327174337,72000.0,76000.0,76000.0,1641965.0,3206855.666666667,3704862.0,0.21660380123120973,4418480952.27329,49.598109187254394,-243610551.9910595,-158921698.9651292,-10839.822469528357,989.0488442809449,78603.5611461259,0.0,78375.0,83937.14886532175,72812.85113467825,14.193681315015638,0.28650337688664024,0.0,0.0,78354.16666666666,81041.66666666666,75666.66666666666,6.859877692103165,0.062015503875970795,0.0,0.0,14.035087719298245,0.36363636363636365,-468.1235955913289,-10.245035293726204,-457.8785602976027,78375.0,78375.0,77798.93527204794,78267.05886763927,0.0,0.0,0.0,0.22823321322163612,0.3637466835719826,-0.13551347035034647,0.003679472178233192,7.384349565042294,-100.85470085470054,45728.73194221509,-368.4718519464604,-358.20897995741535,-10.262871989045038,77500.0,77500.0,77500.0,77500.0,124111.27608346709,124143.53932584269,12.0,28.000000000000004,-16.000000000000004,80000.0,81764.4,0.0,0.0,39.44744178887351,85.1577503895339,44.70359572400389,36.36363636363637,18.371212121212125,-63.63636363636363,-943.75,76676.4900381957,0.0,2.7027027027026973,2.6668247082161756,-3.1847133757961776
2010-01-14,11312.888565063,75000.0,77000.0,76000.0,817646.0,3206855.666666667,4522508.0,0.20526748040824572,3787269387.66282,53.02208956208013,489209266.60192794,-77905328.26924706,44377.43243243243,989.0488442809449,78467.2994357269,0.0,78111.11111111111,83563.48628728236,72658.73593493986,13.960562328745729,0.306404452839435,0.0,0.0,78092.59259259258,80703.7037037037,75481.48148148147,6.687218401707372,0.09929078014184538,0.0,0.0,14.082503556187767,0.36363636363636365,-576.9525817223039,-123.58654457944174,-453.3660371428621,78111.11111111111,78111.11111111111,77522.17599942518,78099.12858114748,0.0,0.0,0.0,0.29124706078777846,0.36752605289886325,-0.0762789921110848,-0.015101826963339263,8.308691390631497,-58.147512864493834,45992.62083110398,-370.59820934731414,-359.5855610007374,-11.012648346576725,77500.0,77500.0,77500.0,77500.0,124111.27608346709,124143.53932584269,12.0,28.000000000000004,-16.000000000000004,80000.0,80983.24799999999,0.0,0.0,39.44744178887351,82.46859694809575,39.767779390420905,36.36363636363637,24.24242424242425,-63.63636363636363,-1733.3333333333285,76487.1573007627,0.0,0.0,0.0,-3.1847133757961776
2010-01-15,11387.315463517,74000.0,76500.0,74000.0,1124876.0,2081979.666666667,3397632.0,0.12431443779211741,2924837760.8538456,48.55392072525436,-166685039.0620833,-87769740.57956219,-29602.0,989.0488442809449,78223.22032670375,2900.0,77700.0,83430.61951275777,71969.38048724223,14.750629376467867,0.1771727740986039,0.0,0.0,77766.66666666666,80366.66666666666,75166.66666666666,6.686669524217746,-0.2243589743589725,0.0,1.0,14.157014157014158,0.18181818181818182,-815.1866582440125,-261.9065673123559,-553.2800909316566,77700.0,77700.0,76980.30276874438,77795.4894269884,0.0,0.0,0.0,0.3015934915618907,0.39542257782559,-0.09382908626369929,-0.038527776476446424,9.2344744586866,-80.80808080808077,46403.73194221509,-373.91085035074923,-360.30180770418286,-13.609042646566365,77500.0,77500.0,77500.0,77500.0,124111.27608346709,124143.53932584269,12.0,28.000000000000004,-16.000000000000004,80000.0,80264.58816,0.0,0.0,32.88945574452556,78.92345839527009,31.293751620430385,18.181818181818183,30.30303030303031,-81.81818181818181,-2300.0,75777.7088199528,0.0,-2.631578947368418,-2.6668247082161756,-5.73248407643312
