,Unnamed: 0,date,ticker,Open,High,Low,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
1905,1905.0,2017-04-21,PLX,51.8,51.8,46.0,48.9,482097.0,0.0,482097.0,0.0,0.0,50.0,0.0,0.0,-110544.0543958358,1000.0,48.9,0.0,48.9,48.9,48.9,0.0,0.0,0.0,0.0,48.9,54.699999999999996,43.1,23.721881390593037,0.5,0.0,0.0,11.860940695296518,0.5,0.0,0.0,0.0,48.9,48.9,48.9,48.9,0.0,0.0,0.0,0.0,0.0,0.0,-22.422848476574657,1.0,0.0,14.570018450184477,-229.5574951127516,-229.5574951127516,0.0,48.9,48.9,48.9,48.9,63.21369926199263,62.89718634686356,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,50.00000000000001,50.00000000000001,-50.00000000000001,0.0,48.9,0.0,-22.955749511275158,0.0,0.0
1906,1906.0,2017-04-24,PLX,48.9,49.5,48.0,48.4,175739.0,-82011.53333333366,306358.0,-0.12466866108472881,-87869.5,0.0,-128.0307729075492,-128.0307729075492,-112465.90201176077,989.7750511247444,48.828760765094444,0.0,48.65,49.15,48.15,2.055498458376156,0.25,0.0,0.0,48.766666666666666,52.416666666666664,45.11666666666667,14.969241285030755,0.4497716894977168,0.0,0.0,11.9218910585817,0.4137931034482758,-0.03988603988603501,-0.007977207977207001,-0.031908831908828005,48.65,48.65,48.823076923076925,48.86296296296296,0.0,0.0,0.0,0.1845016655724952,0.2003160940501375,-0.015814428477642306,-0.001997060327198364,1.8777540867093105,-66.66666666666667,14.820018450184477,-233.49636272464966,-231.52692891870063,-1.9694338059490235,48.9,48.9,48.9,48.9,63.21369926199263,62.89718634686356,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,-100.0,5.4794520547945025,41.37931034482758,45.689655172413794,-58.62068965517242,0.0,48.61482272287014,0.0,-1.0224948875255602,-1.0277582758240644,-1.0224948875255602
1907,1907.0,2017-04-25,PLX,48.1,48.4,45.05,45.15,253355.0,-320240.8616915424,53003.0,-0.3514530561556714,-192945.82142857142,0.0,-2677.567050186501,-1402.7989115470252,-18809.396463942267,989.7750511247444,48.09783861634571,0.0,47.48333333333333,50.80832289054333,44.158343776123324,14.004870019838556,0.14912170501804112,0.0,0.0,47.911111111111104,51.46111111111111,44.36111111111111,14.81910946196661,0.11111111111111144,0.0,0.0,14.215514215514217,0.014814814814815025,-0.32994050372966655,-0.07236986712769891,-0.25757063660196766,47.48333333333333,47.48333333333333,48.25798816568048,48.58792866941015,0.0,0.0,0.0,0.1747310383593238,0.36962335037549277,-0.19489231201616897,-0.018223539420761055,2.7294530621644593,-99.99999999999959,15.986685116851149,-251.87774491350697,-238.31053425030277,-13.567210663204207,48.425,48.425,48.425,48.425,63.21369926199263,62.89718634686356,4.0,12.0,-8.0,-1.0,51.8,0.0,1.0,0.0,-100.0,4.694835680751174,1.4814814814815025,30.953597275436366,-98.5185185185185,0.0,46.77173543869129,0.0,-6.714876033057848,-6.950953385959124,-7.668711656441718
1908,1908.0,2017-04-26,PLX,43.1,44.5,43.1,44.1,174379.0,-245507.00454868498,-121376.0,-0.22615492741019463,-191538.98265306116,0.0,-2348.333228198345,-1717.977017097465,-21067.799754949054,966.757026679983,47.42352475350891,0.0,46.637499999999996,50.745647392682,42.52935260731799,17.61735681664758,0.19116249279174646,0.0,0.0,46.90833333333333,49.920833333333334,43.89583333333333,12.844199680227405,0.03388658367911579,0.0,0.0,18.654516215491817,0.11494252873563224,-0.6371918300603809,-0.18533425971423534,-0.4518575703461456,46.637499999999996,46.637499999999996,47.618297678652716,48.2554895087131,0.0,0.0,0.0,0.18260142104924465,0.5560110685881499,-0.3734096475389052,-0.04745225935674371,3.5037631599654935,-107.92227204783251,16.83251845018448,-265.2042470004285,-245.0339624378342,-20.170284562594304,47.45,47.45,47.45,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,51.665,0.0,0.0,0.0,-100.0,11.811023622047248,11.494252873563225,18.11834823329077,-88.50574712643677,0.0,45.67139941556171,0.0,-2.3255813953488302,-2.3530497410194418,-9.815950920245397
1909,1909.0,2017-04-27,PLX,44.1,45.9,44.1,45.9,82543.0,-162964.00454868498,-38833.0,-0.13951047933606164,-142950.9279883382,11.815626126085988,2616.8179009728206,-634.2782875798936,-686.2235405790166,1006.2164971567169,47.273468976603006,0.0,46.489999999999995,50.21150507187616,42.76849492812383,16.00991642020291,0.42073099611516146,0.0,0.0,46.586666666666666,49.35666666666667,43.81666666666666,11.891814539210088,0.3760529482551143,0.0,0.0,18.71370187137018,0.32183908045976994,-0.7270646147347577,-0.2936803307183398,-0.4333842840164179,46.489999999999995,46.489999999999995,47.35394418962922,48.081008804363975,0.0,0.0,0.0,0.27703457732750997,0.5330527384439678,-0.25601816111645787,-0.07688111506421795,4.2389420231580655,-49.18450560652377,16.98001845018448,-267.5281788914483,-249.532805728557,-17.995373162891298,47.45,47.45,47.45,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,51.3224,0.0,0.0,30.112299269627968,-93.37242967560442,22.758620689655167,32.18390804597699,15.053214133673912,-67.81609195402301,0.0,45.73295169131583,0.0,4.081632653061207,4.000533461369926,-6.134969325153373
1910,1910.0,2017-04-28,PLX,46.1,47.0,46.1,46.65,78191.0,-145588.22677090755,39358.0,-0.11681598291500914,-114151.75970428989,20.91778559808462,1784.0927984039065,-150.60407038313355,4646.73275977057,1022.6579431886893,47.23017103638705,0.0,46.51666666666666,49.91601300906185,43.11732032427147,14.615605914991866,0.5196116135138193,0.0,0.0,46.58611111111111,49.044444444444444,44.12777777777777,10.553932383280674,0.5129943502824861,0.0,0.0,18.702973844500175,0.40804597701149414,-0.7293630686564541,-0.38081687830596267,-0.3485461903504914,46.51666666666666,46.51666666666666,47.24564508353241,47.97500815218886,0.0,0.0,0.0,0.37220363523191274,0.5188848707912875,-0.1466812355593748,-0.10206649609071765,4.9150880546761755,-0.12738853503162276,16.953351783517817,-267.10803301284585,-252.4620102759385,-14.646022736907355,47.45,47.45,47.45,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,50.993504,0.0,0.0,38.4314043044746,-86.15900674823808,25.961538461538453,40.80459770114941,28.16091954022988,-59.19540229885059,-0.45583333333333087,45.94069462028584,0.0,1.6339869281045694,1.6207810226853248,-4.601226993865026
1913,1913.0,2017-05-03,PLX,46.65,46.8,46.0,46.75,52149.0,-99957.8517709072,91507.0,-0.07698226410267234,-97099.37974653419,19.57234969464095,-230.10987746649272,-163.85503823036007,1389.4185003047323,1024.8501359929523,47.201514982316134,0.0,46.55,49.70141691488583,43.39858308511416,13.539922298113153,0.531731758348966,0.0,0.0,46.57619047619047,48.797619047619044,44.35476190476191,9.538901952765553,0.5391211146838157,0.0,0.0,18.689581095596125,0.4195402298850575,-0.714874813824089,-0.44762846540958795,-0.26724634841450107,46.55,46.55,47.16939199375819,47.88426680758228,0.0,0.0,0.0,0.38653341177011885,0.5397217685085075,-0.15318835673838865,-0.12275654723831776,5.545236438566785,-3.1651293181399973,16.92001845018448,-266.58285066459274,-254.4792731886034,-12.10357747598934,47.45,47.45,47.45,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,50.677763840000004,0.0,0.0,39.46606553763747,-80.57435025857005,29.268292682926823,41.954022988505756,38.314176245210724,-58.04597701149425,-0.8942857142857079,46.10639812422174,0.0,0.2143622722400984,0.21413284413434042,-4.396728016359919
1914,1914.0,2017-05-04,PLX,46.75,47.5,46.7,47.5,294774.0,194816.1482290928,386281.0,0.12227770947209204,-51645.11121131503,41.258247393145645,189.97604944805184,-113.30773999058694,4840.782433756902,1024.8501359929523,47.20740191657141,0.0,46.668749999999996,49.682857454952455,43.65464254504754,12.917026725388869,0.6378932258427256,0.0,0.0,46.65833333333333,48.702083333333334,44.614583333333336,8.760492945168776,0.705912334352701,0.0,0.0,18.64202490960224,0.5057471264367817,-0.635547835663985,-0.4852123394604674,-0.1503354962035176,46.668749999999996,46.668749999999996,47.220254763949235,47.85580259961322,0.0,0.0,0.0,0.42777942872845914,0.5282296589561948,-0.10045023022773564,-0.13632341720494198,6.143184270360586,31.999999999999826,16.80126845018448,-264.71188854894126,-255.75835010864563,-8.953538440295631,47.45,47.45,47.45,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,50.374653286400005,0.0,0.0,46.700550224014144,-74.14100338636108,42.023663810689506,50.574712643678176,44.44444444444446,-49.42528735632183,-0.8831249999999926,46.30840736334835,0.0,1.6042780748663166,1.5915455305899329,-2.862985685071573
1915,1915.0,2017-05-05,PLX,47.1,47.5,47.0,47.1,127431.0,118357.54822909352,258850.0,0.06878621331437945,-51549.00960969857,36.95386176036457,58.85538055889013,-91.7873499219023,3655.891494511685,1016.2198190582749,47.20685373463717,0.0,46.71666666666667,49.57129254213422,43.862040791199114,12.221016948130808,0.5671424820722868,0.0,0.0,46.718518518518515,48.59074074074074,44.846296296296295,8.014904074837489,0.6018793273986156,0.0,0.0,18.622904031394924,0.45977011494252895,-0.5980631908301248,-0.5077825097343989,-0.09028068109572596,46.71666666666667,46.71666666666667,47.201754031033964,47.79981722186409,0.0,0.0,0.0,0.44773550354774777,0.536261154439318,-0.08852565089157022,-0.1458789758468356,6.704000163252431,28.3636363636364,16.753351783517807,-263.95693892332747,-256.66930442138806,-7.287634501939408,47.45,47.45,47.45,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,50.083667154944,0.0,0.0,43.70082324463414,-69.41448881882312,42.92233190538276,45.9770114942529,46.168582375478955,-54.0229885057471,-0.2594444444444477,46.46139948837551,0.0,-0.8421052631578885,-0.8456710018223124,-3.6809815950920144
1916,1916.0,2017-05-08,PLX,47.0,47.5,46.6,47.5,141488.0,259845.54822909352,400338.0,0.1395409104490698,-36099.83680831309,36.95386176036457,-127.21926947868306,-95.72422987265571,128.49344507766182,1016.2198190582749,47.206332979977574,1.8599999999999988,46.795,49.54361783447609,44.046382165523916,11.747485135061805,0.6282462754838339,0.0,0.0,46.766666666666666,48.54166666666667,44.99166666666667,7.59087669280115,0.7065727699530506,0.0,0.0,18.591729885671537,0.5057471264367817,-0.5299705125035388,-0.5122201102882269,-0.017750402215311878,46.795,46.795,47.24763802625951,47.77760853876305,0.0,0.0,0.0,0.45094125140570573,0.5500492187476195,-0.09910796734191374,-0.15045152368453024,7.262060121401028,27.08333333333319,16.675018450184474,-262.7227604049327,-260.35433389829706,-2.3684265066356716,46.3,47.45,46.875,47.45,63.21369926199263,62.89718634686356,4.0,16.0,-12.0,-1.0,49.80432046874624,0.0,0.0,47.34330991890256,-64.6547893703674,59.05283598527666,50.574712643678176,49.042145593869755,-49.42528735632183,0.11749999999999972,46.64630712036216,0.0,0.849256900212314,0.8456710018223124,-2.862985685071573
