,Unnamed: 0,date,ticker,Open,High,Low,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2046,2046.0,2017-11-06,VRE,40.55,40.55,40.55,40.55,80.0,0.0,80.0,0.0,0.0,50.0,0.0,0.0,22.597288274166658,1000.0,40.55,0.0,40.55,40.55,40.55,0.0,0.0,0.0,0.0,40.55,40.55,40.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,40.55,40.55,40.55,0.0,0.0,0.0,0.0,0.0,0.0,4.745444643499028,0.0,0.0,-2.194292237442866,57.20901439302695,57.20901439302695,0.0,40.55,40.55,40.55,40.55,38.67805365296803,39.25582191780832,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,40.55,0.0,5.720901439302684,0.0,0.0
2051,2051.0,2017-11-13,VRE,46.35,46.35,46.35,46.35,13238.0,0.0,13318.0,0.0,76780.40000000005,100.0,0.0,0.0,1898.0514437161785,1000.0,46.315159933924015,0.0,43.45,49.25000000000001,37.65,26.69735327963178,0.7499999999999997,0.0,0.0,43.45,43.45,43.45,0.0,0.0,1.0,0.0,13.34867663981589,1.0,0.4626780626780729,0.09253561253561458,0.3701424501424583,43.45,43.45,41.44230769230769,40.97962962962962,0.0,0.0,0.0,0.7255176352991628,0.7255176352991628,0.0,0.02793618988902239,0.0,66.66666666666659,-5.094292237442872,132.8170573459192,95.01303586947307,37.80402147644614,43.45,43.45,43.45,43.45,38.67805365296803,39.25582191780832,8.0,4.0,4.0,-1.0,-1.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,-0.0,0.0,43.03330202168421,0.0,14.303329223181272,13.368551145044227,14.303329223181272
2052,2052.0,2017-11-14,VRE,49.55,49.55,46.35,47.0,1546487.0,-918226.6562500005,1559805.0,-0.5886804159814851,209414.13571428542,100.0,331.0729414472923,165.53647072364615,23580.994679414744,1000.0,47.622078443566124,0.0,44.63333333333333,50.4323753998206,38.834291266846066,25.98525197828499,0.7040566907027336,0.0,0.0,44.84444444444444,45.91111111111112,43.77777777777778,4.757185332011908,1.5104166666666616,1.0,0.0,20.164301717699775,0.716666666666667,0.8717542877087112,0.24837934757023394,0.6233749401384773,44.63333333333333,44.63333333333333,42.29733727810651,41.4255829903978,0.0,0.0,0.0,0.8039811547796333,0.5181211886357641,0.2858599661438692,0.07644192339917372,4.999999999999999,64.94178525226391,-6.277625570776202,163.66861510255913,117.89822894716842,45.77038615539071,45.05,45.05,45.05,45.05,38.67805365296803,39.25582191780832,12.0,4.0,8.0,40.55,-1.0,1.0,0.0,100.0,100.0,71.6666666666667,71.66666666666669,85.83333333333334,-28.3333333333333,0.0,44.734386133722516,0.0,1.4023732470334282,1.3926309698194306,15.906288532675728
2053,2053.0,2017-11-15,VRE,46.35,47.0,43.8,44.5,655026.0,-1286678.7812499995,904779.0,-0.5809376793308382,-54440.026530612464,71.54518321870638,-1245.7520770167916,-304.8930451898331,-13154.288553788294,946.8085106382979,46.876185436571305,0.0,44.6,49.623445033042564,39.57655496695744,22.52665934099804,0.4900466712244053,0.0,0.0,44.90833333333333,46.50833333333334,43.30833333333334,7.1256262757468996,0.3723958333333318,0.0,0.0,20.179372197309416,0.4388888888888892,0.9828908823884532,0.3952816545338778,0.5876092278545755,44.6,44.6,42.636208466090125,41.65331758370167,0.0,0.0,0.0,0.6704046187764707,0.8024013830951545,-0.1319967643186838,0.1243788575188568,8.461538461538462,5.8636073932442,-6.24429223744287,162.79955713758335,129.12356099477216,33.67599614281119,45.05,45.05,45.05,45.05,38.67805365296803,39.25582191780832,12.0,4.0,8.0,40.91,-1.0,0.0,0.0,69.15328926660372,99.02975144577695,58.60655737704922,43.88888888888892,71.85185185185186,-56.11111111111108,0.0,44.67793588718263,0.0,-5.319148936170215,-5.465841253786374,9.741060419235525
2054,2054.0,2017-11-16,VRE,44.5,44.5,42.75,44.0,552199.0,-1050022.0669642852,352580.0,-0.37947621347230975,-86105.66559766783,58.03946242338311,-562.5236554213241,-369.30069774770584,-41046.29165670572,936.1702127659574,46.25231201565095,0.0,44.480000000000004,48.998672371394065,39.96132762860594,20.317771454109984,0.4468870543659355,0.0,0.0,44.67666666666666,46.30666666666667,43.04666666666667,7.296873834216232,0.2924335378323103,0.0,0.0,20.23381294964029,0.38333333333333364,1.0188766373952305,0.5200006511061483,0.49887598628908214,44.480000000000004,44.480000000000004,42.84602254823011,41.82714591083488,0.0,0.0,0.0,0.641093449485238,0.9786740581513781,-0.33758060866614004,0.1671329584977814,10.904292418815242,-30.562884784520495,-6.124292237442873,159.67094846367056,135.23303848855184,24.437909975118714,45.05,45.05,45.05,45.05,38.67805365296803,39.25582191780832,12.0,4.0,8.0,41.255599999999994,-1.0,0.0,0.0,64.84504484050404,98.03697128786494,60.215053763440885,38.333333333333364,51.296296296296326,-61.66666666666664,0.0,44.524447298568695,0.0,-1.1235955056179803,-1.1299555253933669,8.508014796547481
2056,2056.0,2017-11-20,VRE,45.6,47.7,45.0,47.7,317667.0,-732355.0669642852,670247.0,-0.23741556041461614,94104.84377342767,62.40656739351836,2316.1046001001087,167.78036182185707,20508.423672114426,1014.8936170212767,46.30871379479626,0.0,45.01666666666667,49.789040871981626,40.24429246135172,21.202699172076798,0.7811319081333693,0.0,0.0,45.03055555555556,46.838888888888896,43.22222222222223,8.03158349269015,1.238095238095237,1.0,0.0,19.992595335061086,0.7944444444444451,1.3306161703789385,0.6821237549607064,0.6484924154182321,45.01666666666667,45.01666666666667,43.59278831004086,42.26217213966192,0.0,0.0,0.0,0.7710025541314824,0.8213948779309257,-0.05039232379944325,0.22191341952985175,13.043695417012806,61.42719382835104,-6.660958904109542,173.66278169978054,141.6379956904233,32.02478600935723,45.05,45.05,45.05,45.05,38.67805365296803,39.25582191780832,24.0,4.0,20.0,41.58737599999999,-1.0,0.0,0.0,76.50827424768056,97.2320464412334,68.55524079320115,79.44444444444451,53.888888888888935,-20.555555555555493,0.8975000000000009,45.36590011190241,0.0,8.40909090909092,8.07417639760346,17.63255240443897
2057,2057.0,2017-11-21,VRE,49.9,51.0,49.0,51.0,806273.0,73917.93303571478,1476520.0,0.018997302224307764,460761.4232343662,70.72392378586824,905.4005281089652,290.71705620304175,82492.7998999428,1014.8936170212767,47.142681178043865,0.0,45.871428571428574,51.958852878463325,39.78400426439382,26.541245810802405,0.9212431374830192,0.0,0.0,45.78809523809524,47.62380952380953,43.952380952380956,8.018303780354634,1.9195849546044093,1.0,0.0,22.7810650887574,1.0,1.822940691430233,0.9102871422546118,0.9126535491756212,45.871428571428574,45.871428571428574,44.732359339265344,42.90941864783511,0.0,0.0,0.0,0.920313301503376,0.7604466716647613,0.15986662983861466,0.2975331901505936,14.849340691552898,133.16392625809667,-7.515720808871443,195.9479109445164,149.3965550124366,46.55135593207979,45.775,45.775,45.775,45.775,38.67805365296803,39.25582191780832,28.000000000000004,4.0,24.000000000000004,41.90588095999999,-1.0,0.0,0.0,82.1851693268613,96.58647730719132,73.50835322195705,100.0,72.59259259259262,-0.0,0.9185714285714326,46.87022583256539,0.0,6.91823899371069,6.68942348300301,25.77065351418004
2058,2058.0,2017-11-22,VRE,51.5,54.0,50.4,51.6,745567.0,-174604.40029761757,2222087.0,-0.03765836448573959,458844.10562945687,75.83208626171802,1062.2787757505364,400.940158995541,64551.269552349215,1026.8335419274092,47.92375045930472,0.0,46.587500000000006,53.42722769925821,39.7477723007418,29.36293082590053,0.8664254061271782,0.0,0.0,46.56458333333333,48.62083333333334,44.50833333333333,8.831819605386793,1.724417426545085,1.0,0.0,28.87040515159646,0.8215613382899629,2.235754026254689,1.1753805190546274,1.0603735072000617,46.587500000000006,46.587500000000006,45.78891944091683,43.55316541466214,0.0,0.0,0.0,0.9833873996926775,0.6805190370496855,0.302868362642992,0.38570211837971724,16.641350674569157,137.9328575204864,-8.231792237442875,214.6171382992638,157.54912792329,57.068010375973785,47.275,47.275,47.275,47.275,38.67805365296803,39.25582191780832,32.0,4.0,28.0,42.45152810239999,-1.0,0.0,0.0,82.9900313793159,96.05462775309324,67.61710794297355,82.1561338289963,87.20019275781361,-17.843866171003704,0.9618750000000063,48.10477616628945,0.0,1.17647058823529,1.1696039763191557,27.250308261405685
2059,2059.0,2017-11-23,VRE,51.6,52.8,50.5,52.0,231654.0,-104101.00899326937,2453741.0,-0.021383920432306244,406532.319110963,71.94900389414646,-546.073022697644,282.5635112838929,10567.143912448713,1034.793491864831,48.10661652004479,0.0,47.1888888888889,54.479793081828014,39.89798469594978,30.900936066141764,0.8299392629360312,0.0,0.0,47.14259259259259,49.22592592592593,45.05925925925926,8.83843343677575,1.6657777777777765,1.0,0.0,28.50247233341182,0.8513011152416358,2.5656134307324834,1.4534271013901985,1.112186329342285,47.1888888888889,47.1888888888889,46.744470296160394,44.17885686542791,0.0,0.0,0.0,0.9881459587781238,0.7471347493200449,0.24101120945807897,0.4790556233015007,18.21572616153182,105.38829487900969,-8.833181126331766,230.29639241736834,165.63215731152093,64.66423510584741,47.275,47.275,47.275,47.275,38.67805365296803,39.25582191780832,36.0,4.0,32.0,43.37540585420799,-1.0,0.0,0.0,83.52443988932598,95.61140875990434,62.28055043193251,85.13011152416357,89.09541511771995,-14.869888475836428,1.6455555555555605,49.135528641740855,0.0,0.7751937984496138,0.7722046093910251,28.23674475955611
2062,2062.0,2017-11-28,VRE,51.9,51.9,49.5,49.8,281190.0,-314993.50899327,2172551.0,-0.06117114056879264,260082.2735236825,67.84344849087752,-810.8396457911011,161.07427160889358,-10100.732558139558,1034.793491864831,48.23185031042242,2.935,47.45,54.54196728700859,40.35803271299142,29.892380556411318,0.6656804032574177,0.0,0.0,47.46833333333333,49.583333333333336,45.35333333333333,8.911203960535104,1.0512214342001562,1.0,0.0,28.345626975763967,0.6877323420074348,2.6193139506996204,1.6866044712520831,0.9327094794475372,47.45,47.45,47.214551789058795,44.595237838359175,0.0,0.0,0.0,0.9542138328363411,0.7925364060102501,0.161677426826091,0.559842778630208,19.65776438386288,66.06572769953064,-9.094292237442872,237.10401314301185,185.6204905059637,51.48352263704817,48.375,47.275,47.825,47.275,38.67805365296803,39.25582191780832,36.0,4.0,32.0,44.22537338587135,-1.0,0.0,0.0,70.42013270922789,94.26060694539345,60.423484614285314,68.77323420074347,78.68649318463444,-31.22676579925652,2.7025000000000077,49.26825711691037,0.0,-4.230769230769238,-4.322873455082021,22.81134401972873
